WS_ID,Yahoo_Symbol,History_State,History_Source,Unique_Bars,Valid_Bars,First_Bar,Last_Bar,Future,Duplicates,Dup_Source,Pass_260,Pass_252,Bar_QA_Status,Eligibility_DryRun,Sqlite_Used
WS:ISIN:INE002A01018,RELIANCE.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE009A01021,INFY.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE018A01030,LT.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE019A01038,JSWSTEEL.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE021A01026,ASIANPAINT.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE027H01010,MAXHEALTH.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE030A01027,HINDUNILVR.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE038A01020,HINDALCO.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE040A01034,HDFCBANK.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE044A01036,SUNPHARMA.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE047A01021,GRASIM.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE059A01026,CIPLA.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION,NO
WS:ISIN:INE062A01020,SBIN.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE066A01021,EICHERMOT.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE075A01022,WIPRO.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION,NO
WS:ISIN:INE081A01020,TATASTEEL.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE089A01031,DRREDDY.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE090A01021,ICICIBANK.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
