WS_ID,Name,ISIN,Primary_MIC,Primary_Ticker,Instrument_Type,Share_Class,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Issuer_Key,Group_Size,Group_Type,Group_Tickers,Canonical_Scan_WS_ID,Is_Canonical_Scan_Class,Canonical_Reason,Universe_Write
WS:XAMS:ABND.AS,ABN AMRO BANK,,XAMS,ABNd.AS,UNKNOWN,ordinary share represented by depositary receipts,PREFERRED,65638802.28,INSTRUMENT_REVIEW,ABN AMRO BANK,1,REVIEW,ABNd.AS,,NO,Keine Ordinary-Like-Klasse.,NO
WS:XETR:FPE3_P.DE,FUCHS PREF,,XETR,FPE3_p.DE,PREFERRED_SHARE,preference shares / Vorzugsaktien,FAIL_LIQ,2702932.39,PREFERRED,FUCHS,1,NO_ORDINARY_IN_UNIVERSE,FPE3_p.DE,,NO,Nur Preferred in 1633.,NO
WS:XETR:HNKG_P.DE,HENKEL PREF,,XETR,HNKG_p.DE,PREFERRED_SHARE,preferred shares,PREFERRED,23330579.82,PREFERRED,HENKEL,1,NO_ORDINARY_IN_UNIVERSE,HNKG_p.DE,,NO,Nur Preferred in 1633.,NO
WS:XETR:P911_P.DE,DR ING HC F PORSCHE PREF.,,XETR,P911_p.DE,UNKNOWN,,LOW_EXCEPTION,14238764.9,INSTRUMENT_REVIEW,DR ING HC F PORSCHE,1,REVIEW,P911_p.DE,,NO,Keine Ordinary-Like-Klasse.,NO
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,,XETR,PSHG_p.DE,PREFERRED_SHARE,preference shares,STANDARD,16607848.4,PREFERRED,PORSCHE AUTOMOBIL HLDG,1,NO_ORDINARY_IN_UNIVERSE,PSHG_p.DE,,NO,Nur Preferred in 1633.,NO
WS:XETR:SATG_P.DE,SARTORIUS PREF.,,XETR,SATG_p.DE,PREFERRED_SHARE,preference shares,STANDARD,15693292.75,PREFERRED,SARTORIUS,1,NO_ORDINARY_IN_UNIVERSE,SATG_p.DE,,NO,Nur Preferred in 1633.,NO
WS:XETR:VOWG_P.DE,VOLKSWAGEN PREF,,XETR,VOWG_p.DE,PREFERRED_SHARE,preference shares,PREFERRED,52760127.86,PREFERRED,VOLKSWAGEN,1,NO_ORDINARY_IN_UNIVERSE,VOWG_p.DE,,NO,Nur Preferred in 1633.,NO
WS:XHKG:2359,WUXI APPTEC,,XHKG,2359,UNKNOWN,HSI_TYPE_H,PREFERRED,150681929.78,INSTRUMENT_REVIEW,WUXI APPTEC,2,DUAL_LISTING_MULTI_MIC,2359|603259,,NO,Kein Merge ueber MIC.,NO
WS:XSHG:603259,"WuXi AppTec Co., Ltd.",,XSHG,603259,COMMON_STOCK,A_SHARE,PREFERRED,1359814470.55,PASS_STRICT_CANDIDATE,WUXI APPTEC,2,DUAL_LISTING_MULTI_MIC,2359|603259,,NO,Kein Merge ueber MIC.,NO
WS:XHKG:2899,ZIJIN MINING,,XHKG,2899,UNKNOWN,HSI_TYPE_H,PREFERRED,275718417.39,INSTRUMENT_REVIEW,ZIJIN MINING,2,DUAL_LISTING_MULTI_MIC,2899|601899,,NO,Kein Merge ueber MIC.,NO
WS:XSHG:601899,Zijin Mining Group Co Ltd,,XSHG,601899,COMMON_STOCK,A_SHARE,PREFERRED,1242806022.23,PASS_STRICT_CANDIDATE,ZIJIN MINING,2,DUAL_LISTING_MULTI_MIC,2899|601899,,NO,Kein Merge ueber MIC.,NO
WS:XHKG:300,MIDEA GROUP,,XHKG,300,UNKNOWN,HSI_TYPE_H,PREFERRED,37208113.07,INSTRUMENT_REVIEW,MIDEA,2,DUAL_LISTING_MULTI_MIC,000333|300,,NO,Kein Merge ueber MIC.,NO
WS:XSHE:000333,"Midea Group CO., LTD",,XSHE,000333,COMMON_STOCK,A_SHARE,PREFERRED,242086328.28,PASS_STRICT_CANDIDATE,MIDEA,2,DUAL_LISTING_MULTI_MIC,000333|300,,NO,Kein Merge ueber MIC.,NO
WS:XHKG:3988,BANK OF CHINA,,XHKG,3988,UNKNOWN,HSI_TYPE_H,PREFERRED,77659435.07,INSTRUMENT_REVIEW,BANK OF CHINA,2,DUAL_LISTING_MULTI_MIC,3988|601988,,NO,Kein Merge ueber MIC.,NO
WS:XSHG:601988,Bank of China Ltd,,XSHG,601988,COMMON_STOCK,A_SHARE,PREFERRED,198895415.15,PASS_STRICT_CANDIDATE,BANK OF CHINA,2,DUAL_LISTING_MULTI_MIC,3988|601988,,NO,Kein Merge ueber MIC.,NO
WS:XHKG:857,PETROCHINA,,XHKG,857,UNKNOWN,HSI_TYPE_H,PREFERRED,85030909.01,INSTRUMENT_REVIEW,PETROCHINA,2,DUAL_LISTING_MULTI_MIC,601857|857,,NO,Kein Merge ueber MIC.,NO
WS:XSHG:601857,PetroChina Co Ltd,,XSHG,601857,COMMON_STOCK,A_SHARE,PREFERRED,167120427.29,PASS_STRICT_CANDIDATE,PETROCHINA,2,DUAL_LISTING_MULTI_MIC,601857|857,,NO,Kein Merge ueber MIC.,NO
WS:XHKG:883,CNOOC,,XHKG,883,UNKNOWN,HSI_TYPE_R,PREFERRED,138995874.81,INSTRUMENT_REVIEW,CNOOC,2,DUAL_LISTING_MULTI_MIC,600938|883,,NO,Kein Merge ueber MIC.,NO
WS:XSHG:600938,CNOOC Limited,,XSHG,600938,COMMON_STOCK,A_SHARE,PREFERRED,185570017.22,PASS_STRICT_CANDIDATE,CNOOC,2,DUAL_LISTING_MULTI_MIC,600938|883,,NO,Kein Merge ueber MIC.,NO
