batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260823T203104533767-39f62777-R,YFINANCE_FREE,2026-08-23T20:31:04+00:00,2026-08-23T20:31:04+00:00,4,0,4,0,1,PARTIAL,
YF-20260823T203102083372-3f6ee8f4,YFINANCE_FREE,2026-08-23T20:31:02+00:00,2026-08-23T20:31:03+00:00,39,0,39,0,0,PARTIAL,
YF-20260823T203059780589-5b7087a3,YFINANCE_FREE,2026-08-23T20:30:59+00:00,2026-08-23T20:31:01+00:00,50,0,50,0,0,PARTIAL,
YF-20260823T203056165663-85fff25a,YFINANCE_FREE,2026-08-23T20:30:56+00:00,2026-08-23T20:30:58+00:00,50,0,50,0,0,PARTIAL,
YF-20260823T203053004343-706a5b6f,YFINANCE_FREE,2026-08-23T20:30:53+00:00,2026-08-23T20:30:55+00:00,50,0,50,0,0,PARTIAL,
YF-20260823T203050125348-c09a2a83,YFINANCE_FREE,2026-08-23T20:30:50+00:00,2026-08-23T20:30:51+00:00,50,0,50,0,0,PARTIAL,
YF-20260823T203046247905-5342ea37,YFINANCE_FREE,2026-08-23T20:30:46+00:00,2026-08-23T20:30:48+00:00,34,22,12,0,0,PARTIAL,
YF-20260823T203040461931-a8b169ab,YFINANCE_FREE,2026-08-23T20:30:40+00:00,2026-08-23T20:30:42+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203034488798-61538da6,YFINANCE_FREE,2026-08-23T20:30:34+00:00,2026-08-23T20:30:37+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203029040205-0c0bab00,YFINANCE_FREE,2026-08-23T20:30:29+00:00,2026-08-23T20:30:31+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203023866835-c8cfbc7c,YFINANCE_FREE,2026-08-23T20:30:23+00:00,2026-08-23T20:30:25+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203018620831-0975d9f8,YFINANCE_FREE,2026-08-23T20:30:18+00:00,2026-08-23T20:30:20+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203013201817-49d0381e,YFINANCE_FREE,2026-08-23T20:30:13+00:00,2026-08-23T20:30:15+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203007581562-f7a0dabb,YFINANCE_FREE,2026-08-23T20:30:07+00:00,2026-08-23T20:30:09+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T203001791407-1ffaae55,YFINANCE_FREE,2026-08-23T20:30:01+00:00,2026-08-23T20:30:04+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T202956285903-e5824d04,YFINANCE_FREE,2026-08-23T20:29:56+00:00,2026-08-23T20:29:58+00:00,50,49,1,0,0,PARTIAL,
YF-20260823T202950999544-57c70fb4,YFINANCE_FREE,2026-08-23T20:29:50+00:00,2026-08-23T20:29:53+00:00,50,43,7,0,0,PARTIAL,
YF-20260823T202947233598-f2819318,YFINANCE_FREE,2026-08-23T20:29:47+00:00,2026-08-23T20:29:49+00:00,50,13,37,0,0,PARTIAL,
YF-20260823T202942388995-cd2f5c62,YFINANCE_FREE,2026-08-23T20:29:42+00:00,2026-08-23T20:29:43+00:00,50,50,0,0,0,SUCCESS,
YF-20260823T202937268357-1dc2de73,YFINANCE_FREE,2026-08-23T20:29:37+00:00,2026-08-23T20:29:39+00:00,50,50,0,0,0,SUCCESS,
