WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XTSE:NA,National Bank of Canada,,Canada,,Toronto Stock Exchange,XTSE,CAD,CA_TSX,CA_TSX,WS:XTSE:NA,,MISSING_PRIMARY_TICKER,MAPPING_PENDING,MISSING_PRIMARY_TICKER,0,0,0,0,,,,2026-08-23T20:28:11+00:00,,
WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,India,RELIANCE,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE002A01018,RELIANCE.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,India,INFY,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE009A01021,INFY.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,India,LT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE018A01030,LT.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,India,JSWSTEEL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE019A01038,JSWSTEEL.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,India,ASIANPAINT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE021A01026,ASIANPAINT.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,India,MAXHEALTH,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE027H01010,MAXHEALTH.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,India,HINDUNILVR,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE030A01027,HINDUNILVR.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,India,HINDALCO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE038A01020,HINDALCO.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,India,HDFCBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE040A01034,HDFCBANK.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,India,SUNPHARMA,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE044A01036,SUNPHARMA.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
WS:ISIN:INE047A01021,Grasim Industries Ltd.,INE047A01021,India,GRASIM,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,WS:ISIN:INE047A01021,GRASIM.NS,DERIVED_RULE,READY,,501,501,0,0,0.00998003992015968,2024-08-21,2026-08-21,2026-08-23T20:28:14+00:00,YF-20260823T202811559854-1495df49,
