WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:ISIN:INE002A01018,RELIANCE.NS,DERIVED_RULE,RELIANCE,XNSE,INR
WS:ISIN:INE009A01021,INFY.NS,DERIVED_RULE,INFY,XNSE,INR
WS:ISIN:INE018A01030,LT.NS,DERIVED_RULE,LT,XNSE,INR
WS:ISIN:INE019A01038,JSWSTEEL.NS,DERIVED_RULE,JSWSTEEL,XNSE,INR
WS:ISIN:INE021A01026,ASIANPAINT.NS,DERIVED_RULE,ASIANPAINT,XNSE,INR
WS:ISIN:INE027H01010,MAXHEALTH.NS,DERIVED_RULE,MAXHEALTH,XNSE,INR
WS:ISIN:INE030A01027,HINDUNILVR.NS,DERIVED_RULE,HINDUNILVR,XNSE,INR
WS:ISIN:INE038A01020,HINDALCO.NS,DERIVED_RULE,HINDALCO,XNSE,INR
WS:ISIN:INE040A01034,HDFCBANK.NS,DERIVED_RULE,HDFCBANK,XNSE,INR
WS:ISIN:INE044A01036,SUNPHARMA.NS,DERIVED_RULE,SUNPHARMA,XNSE,INR
WS:ISIN:INE047A01021,GRASIM.NS,DERIVED_RULE,GRASIM,XNSE,INR
WS:ISIN:INE059A01026,CIPLA.NS,DERIVED_RULE,CIPLA,XNSE,INR
WS:ISIN:INE062A01020,SBIN.NS,DERIVED_RULE,SBIN,XNSE,INR
WS:ISIN:INE066A01021,EICHERMOT.NS,DERIVED_RULE,EICHERMOT,XNSE,INR
WS:ISIN:INE075A01022,WIPRO.NS,DERIVED_RULE,WIPRO,XNSE,INR
WS:ISIN:INE081A01020,TATASTEEL.NS,DERIVED_RULE,TATASTEEL,XNSE,INR
WS:ISIN:INE089A01031,DRREDDY.NS,DERIVED_RULE,DRREDDY,XNSE,INR
WS:ISIN:INE090A01021,ICICIBANK.NS,DERIVED_RULE,ICICIBANK,XNSE,INR
WS:ISIN:INE101A01026,M&M.NS,DERIVED_RULE,M&M,XNSE,INR
WS:ISIN:INE123W01016,SBILIFE.NS,DERIVED_RULE,SBILIFE,XNSE,INR
WS:ISIN:INE154A01025,ITC.NS,DERIVED_RULE,ITC,XNSE,INR
WS:ISIN:INE155A01022,TMPV.NS,DERIVED_RULE,TMPV,XNSE,INR
WS:ISIN:INE192A01025,TATACONSUM.NS,DERIVED_RULE,TATACONSUM,XNSE,INR
WS:ISIN:INE213A01029,ONGC.NS,DERIVED_RULE,ONGC,XNSE,INR
WS:ISIN:INE237A01036,KOTAKBANK.NS,DERIVED_RULE,KOTAKBANK,XNSE,INR
WS:ISIN:INE238A01034,AXISBANK.NS,DERIVED_RULE,AXISBANK,XNSE,INR
WS:ISIN:INE239A01024,NESTLEIND.NS,DERIVED_RULE,NESTLEIND,XNSE,INR
WS:ISIN:INE263A01024,BEL.NS,DERIVED_RULE,BEL,XNSE,INR
WS:ISIN:INE280A01028,TITAN.NS,DERIVED_RULE,TITAN,XNSE,INR
WS:ISIN:INE296A01032,BAJFINANCE.NS,DERIVED_RULE,BAJFINANCE,XNSE,INR
WS:ISIN:INE397D01024,BHARTIARTL.NS,DERIVED_RULE,BHARTIARTL,XNSE,INR
WS:ISIN:INE423A01024,ADANIENT.NS,DERIVED_RULE,ADANIENT,XNSE,INR
WS:ISIN:INE437A01024,APOLLOHOSP.NS,DERIVED_RULE,APOLLOHOSP,XNSE,INR
WS:ISIN:INE467B01029,TCS.NS,DERIVED_RULE,TCS,XNSE,INR
WS:ISIN:INE481G01011,ULTRACEMCO.NS,DERIVED_RULE,ULTRACEMCO,XNSE,INR
WS:ISIN:INE522F01014,COALINDIA.NS,DERIVED_RULE,COALINDIA,XNSE,INR
WS:ISIN:INE585B01010,MARUTI.NS,DERIVED_RULE,MARUTI,XNSE,INR
WS:ISIN:INE646L01027,INDIGO.NS,DERIVED_RULE,INDIGO,XNSE,INR
WS:ISIN:INE669C01036,TECHM.NS,DERIVED_RULE,TECHM,XNSE,INR
WS:ISIN:INE721A01047,SHRIRAMFIN.NS,DERIVED_RULE,SHRIRAMFIN,XNSE,INR
WS:ISIN:INE733E01010,NTPC.NS,DERIVED_RULE,NTPC,XNSE,INR
WS:ISIN:INE742F01042,ADANIPORTS.NS,DERIVED_RULE,ADANIPORTS,XNSE,INR
WS:ISIN:INE752E01010,POWERGRID.NS,DERIVED_RULE,POWERGRID,XNSE,INR
WS:ISIN:INE758E01017,JIOFIN.NS,DERIVED_RULE,JIOFIN,XNSE,INR
WS:ISIN:INE758T01015,ETERNAL.NS,DERIVED_RULE,ETERNAL,XNSE,INR
