WS_ID,Yahoo_Symbol,Eligibility_DryRun,Liquidity_Class
WS:XAMS:ARDS.AS,ARCAD.AS,EXCEPTION_POOL,LOW_EXCEPTION
WS:XAMS:BAMN.AS,BAMNB.AS,EXCEPTION_POOL,LOW_EXCEPTION
WS:XAMS:EXOR.AS,EXO.AS,EXCEPTION_POOL,LOW_EXCEPTION
WS:XAMS:VOPA.AS,VPK.AS,FAIL_LIQUIDITY,FAIL_LIQ
WS:XBRU:AOO.BR,AED.BR,EXCEPTION_POOL,LOW_EXCEPTION
WS:XBRU:IETB.BR,DIE.BR,EXCEPTION_POOL,LOW_EXCEPTION
WS:XBRU:WDPP.BR,WDP.BR,EXCEPTION_POOL,LOW_EXCEPTION
WS:XCSE:ALKB.CO,ALK-B.CO,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:AG1G.DE,AG1.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:BC8G.DE,BC8.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:BNRGN.DE,BNR.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:EVDG.DE,EVD.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:FNTGN.DE,FNTN.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:FPE3_P.DE,FPE3.DE,FAIL_LIQUIDITY,FAIL_LIQ
WS:XETR:FRAG.DE,FRA.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:FTKN.DE,FTK.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:GBFG.DE,GBF.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:HNKG_P.DE,HEN3.DE,INSTRUMENT_REVIEW,PREFERRED
WS:XETR:LEGN.DE,LEG.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:NEKG.DE,NEM.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:PSHG_P.DE,PAH3.DE,INSTRUMENT_REVIEW,STANDARD
WS:XETR:PUMG.DE,PUM.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:RAAG.DE,RAA.DE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XETR:SATG_P.DE,SRT3.DE,INSTRUMENT_REVIEW,STANDARD
WS:XETR:TEGG.DE,TEG.DE,FAIL_LIQUIDITY,FAIL_LIQ
WS:XETR:VOWG_P.DE,VOW3.DE,INSTRUMENT_REVIEW,PREFERRED
WS:XHEL:KCRA.HE,KCR.HE,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:BALF.L,BBY.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:BBOXT.L,BBOX.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:BKGH.L,BKG.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:BPTB.L,BPT.L,FAIL_LIQUIDITY,FAIL_LIQ
WS:XLON:HOCM.L,HOC.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:PAFR.L,PAF.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:PLUSP.L,PLUS.L,EXCEPTION_POOL,LOW_EXCEPTION
WS:XLON:RS1R.L,RS1.L,EXCEPTION_POOL,LOW_EXCEPTION
