WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XAMS:ABND.AS,ABN.AS,ABN AMRO BANK,XAMS,PREFERRED,65638802.28,ordinary share represented by depositary receipts,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:AEGN.AS,AGN.AS,AEGON,XAMS,PREFERRED,29923948.6,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:AKZO.AS,AKZA.AS,AKZO NOBEL,XAMS,PREFERRED,21521880.01,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:ASMI.AS,ASM.AS,ASM INTERNATIONAL,XAMS,PREFERRED,102295655.66,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:PHG.AS,PHIA.AS,PHILIPS,XAMS,PREFERRED,31494127.58,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:SHEL.AS,SHELL.AS,SHELL,XAMS,PREFERRED,153459841.39,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XBRU:AGES.BR,AGS.BR,AGEAS,XBRU,STANDARD,15893045.04,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:CARLB.CO,CARL-B.CO,CARLSBERG B,XCSE,PREFERRED,25400125.46,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:COLOB.CO,COLO-B.CO,COLOPLAST B,XCSE,STANDARD,19718977.39,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:MAERSKB.CO,MAERSK-B.CO,A.P.MOLLER-MAERSK B,XCSE,PREFERRED,42677963.1,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:NOVOB.CO,NOVO-B.CO,NOVO NORDISK B,XCSE,PREFERRED,158003835.08,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:NSISB.CO,NSIS-B.CO,NOVONESIS,XCSE,PREFERRED,26887196.26,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:ROCKB.CO,ROCK-B.CO,ROCKWOOL B,XCSE,STANDARD,15437842.03,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:ZELA.CO,ZEAL.CO,ZEALAND PHARMA,XCSE,STANDARD,16186801.63,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XDUB:AIBG.I,A5G.IR,AIB GROUP,XDUB,PREFERRED,39884657.28,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XDUB:KSP.I,KRX.IR,KINGSPAN GRP,XDUB,PREFERRED,37083468.11,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XDUB:KYGA.I,KRZ.IR,KERRY GRP,XDUB,PREFERRED,20862292.53,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ADSGN.DE,ADS.DE,ADIDAS,XETR,PREFERRED,81109522.16,ordinary bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:AIXGN.DE,AIXA.DE,AIXTRON,XETR,PREFERRED,20700331.46,no-par-value registered ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ALVG.DE,ALV.DE,ALLIANZ,XETR,PREFERRED,189346303.0,registered shares with restricted transferability,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BASFN.DE,BAS.DE,BASF,XETR,PREFERRED,77887698.04,registered shares with no par value,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BAYGN.DE,BAYN.DE,BAYER,XETR,PREFERRED,80255111.05,registered no-par-value shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:BEIG.DE,BEI.DE,BEIERSDORF,XETR,PREFERRED,22103146.19,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
