Primary_Universe_Index,Full_Eligibility_Rows,Included_Strict_Rows,Unresolved_Instrument_Rows,Other_NonStrict_Rows,Verified_Strict_Coverage_Pct_of_Full,Instrument_Unresolved_Pct_of_Full
AU_ASX200,198,53,0,145,26.7677,0.0
BR_IBRX100,99,38,0,61,38.3838,0.0
CA_TSX,217,0,105,112,0.0,48.3871
CN_CSI300,300,295,0,5,98.3333,0.0
EU_STOXX600,600,0,365,235,0.0,60.8333
HK_HSI,93,0,82,11,0.0,88.172
IN_NIFTY50,50,45,0,5,90.0,0.0
JP_N225,225,207,0,18,92.0,0.0
KR_KOSPI200,200,0,92,108,0.0,46.0
MX_IPC,33,0,6,27,0.0,18.1818
NZ_NZX50,48,0,0,48,0.0,0.0
TW_TW50,50,50,0,0,100.0,0.0
US_SP1500,1505,1332,0,173,88.505,0.0
ZA_TOP40,39,17,0,22,43.5897,0.0
