Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Source_ID,Instrument_Type,History_State,History_Observation_Count,History_Valid_Observation_Count,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Eligibility_DryRun,Stage_U_Status
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,64507274.76342572,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,STANDARD,20,17231332.852430966,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,101195749.90920721,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,82666997.22076112,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,78369026.92183,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,41367887.104907475,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,38437448.75746505,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,20657869.556066275,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,34493717.30177535,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,STANDARD,20,19118100.549266204,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
11,WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,STANDARD,20,16500002.58232501,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
12,WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,26938654.873046674,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
13,WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,STANDARD,20,16907038.12978096,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
14,WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,80470757.1365664,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
15,WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,ENEV3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,46022429.176630616,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
16,WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,EQTL3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,63264690.45222218,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
17,WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,LREN3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,31836583.781401858,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
18,WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,STANDARD,20,15962121.367996348,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
19,WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,MGLU3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,STANDARD,20,17590123.49826449,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
20,WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BVMF,MOTV3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,23373001.74918269,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
21,WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BVMF,MULT3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,STANDARD,20,15327265.72624195,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
22,WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BVMF,PETR3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,76436636.64477915,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
23,WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BVMF,PRIO3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,62570635.42492093,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
24,WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BVMF,RADL3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,30132741.05343706,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
25,WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BVMF,RAIL3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,27524828.78878981,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
26,WSSEC:WS:BVMF:RDOR3,WS:BVMF:RDOR3,BVMF,RDOR3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,39744272.46950978,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
27,WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,BVMF,RENT3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,55475062.72229271,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
28,WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BVMF,SBSP3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,67821851.6947952,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
29,WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BVMF,SMFT3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,24251184.601976536,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
