Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,MedianTurnover20_EUR,Eligibility_DryRun,Prospective_Frozen_Status,Cap_Action,Freeze_Authorized,Universe_Write,Productive
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,64507274.76342572,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,17231332.852430966,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,101195749.90920721,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,82666997.22076112,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,78369026.92183,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,41367887.104907475,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,38437448.75746505,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,20657869.556066275,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,34493717.30177535,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,19118100.549266204,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
