WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons
WS:XASX:ASK,Abacus Storage King,Australia,AU_ASX200,XASX,ASK,ASK.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,26,26,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XASX:L1G,L1 Group,Australia,AU_ASX200,XASX,L1G,L1G.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,224,224,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XASX:MSB,Mesoblast,Australia,AU_ASX200,XASX,MSB,MSB.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,XASX,RYM,RYM.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,223,223,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XASX:TUA,Tuas,Australia,AU_ASX200,XASX,TUA,TUA.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:BVMF:AUAU3,AUAU3,Brazil,BR_IBRX100,BVMF,AUAU3,AUAU3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,159,159,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:BVMF:NATU3,NATU3,Brazil,BR_IBRX100,BVMF,NATU3,NATU3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XTSE:IAU,i-80 Gold Corp.,Canada,CA_TSX,XTSE,IAU,IAU.TO,CAD,CAD,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XTSE:LAC,Lithium Americas Corp.,Canada,CA_TSX,XTSE,LAC,LAC.TO,CAD,CAD,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XSHE:001280,"China National Uranium Co., Ltd.",China,CN_CSI300,XSHE,001280,001280.SZ,CNY,CNY,1.0,COMMON_STOCK,PASS,EXPLICIT_ALLOWED_INSTRUMENT_TYPE,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,175,175,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
