Primary_Universe_Index,Cache_Status,Liquidity_Bucket,Instrument_Gate,Rows
AU_ASX200,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,2
AU_ASX200,READY,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,3
AU_ASX200,READY,FAIL_LT_5M,NOT_VERIFIED,65
AU_ASX200,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,62
AU_ASX200,READY,PREFERRED_GE_20M,NOT_VERIFIED,53
AU_ASX200,READY,STANDARD_15_TO_20M,NOT_VERIFIED,10
AU_ASX200,WARMUP,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,3
BR_IBRX100,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
BR_IBRX100,READY,FAIL_LT_5M,NOT_VERIFIED,13
BR_IBRX100,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,36
BR_IBRX100,READY,PREFERRED_GE_20M,NOT_VERIFIED,38
BR_IBRX100,READY,STANDARD_15_TO_20M,NOT_VERIFIED,10
BR_IBRX100,WARMUP,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
CA_TSX,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,2
CA_TSX,READY,FAIL_LT_5M,NOT_VERIFIED,39
CA_TSX,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,70
CA_TSX,READY,PREFERRED_GE_20M,NOT_VERIFIED,96
CA_TSX,READY,STANDARD_15_TO_20M,NOT_VERIFIED,10
CN_CSI300,READY,DATA_OR_FX_NOT_VERIFIED,PASS,1
CN_CSI300,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,PASS,3
CN_CSI300,READY,PREFERRED_GE_20M,PASS,290
CN_CSI300,READY,STANDARD_15_TO_20M,PASS,5
CN_CSI300,WARMUP,DATA_OR_FX_NOT_VERIFIED,PASS,1
EU_STOXX600,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,2
EU_STOXX600,READY,FAIL_LT_5M,NOT_VERIFIED,46
EU_STOXX600,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,181
EU_STOXX600,READY,PREFERRED_GE_20M,NOT_VERIFIED,309
EU_STOXX600,READY,STANDARD_15_TO_20M,NOT_VERIFIED,56
EU_STOXX600,WARMUP,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,6
HK_HSI,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,10
HK_HSI,READY,PREFERRED_GE_20M,NOT_VERIFIED,71
HK_HSI,READY,STANDARD_15_TO_20M,NOT_VERIFIED,12
IN_NIFTY50,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,PASS,5
IN_NIFTY50,READY,PREFERRED_GE_20M,PASS,40
IN_NIFTY50,READY,STANDARD_15_TO_20M,PASS,5
JP_N225,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,PASS,18
JP_N225,READY,PREFERRED_GE_20M,PASS,186
JP_N225,READY,STANDARD_15_TO_20M,PASS,21
KR_KOSPI200,READY,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
KR_KOSPI200,READY,FAIL_LT_5M,NOT_VERIFIED,66
KR_KOSPI200,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,40
KR_KOSPI200,READY,PREFERRED_GE_20M,NOT_VERIFIED,72
KR_KOSPI200,READY,STANDARD_15_TO_20M,NOT_VERIFIED,20
KR_KOSPI200,WARMUP,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
MX_IPC,READY,FAIL_LT_5M,NOT_VERIFIED,19
MX_IPC,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,7
MX_IPC,READY,PREFERRED_GE_20M,NOT_VERIFIED,4
MX_IPC,READY,STANDARD_15_TO_20M,NOT_VERIFIED,3
NZ_NZX50,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
NZ_NZX50,READY,FAIL_LT_5M,NOT_VERIFIED,44
NZ_NZX50,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,3
TW_TW50,READY,PREFERRED_GE_20M,PASS,48
TW_TW50,READY,STANDARD_15_TO_20M,PASS,2
US_SP1500,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,17
US_SP1500,READY,FAIL_LT_5M,NOT_VERIFIED,10
US_SP1500,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,137
US_SP1500,READY,PREFERRED_GE_20M,NOT_VERIFIED,1255
US_SP1500,READY,STANDARD_15_TO_20M,NOT_VERIFIED,77
US_SP1500,STALE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,1
US_SP1500,WARMUP,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,8
ZA_TOP40,QUARANTINE,DATA_OR_FX_NOT_VERIFIED,NOT_VERIFIED,9
ZA_TOP40,READY,FAIL_LT_5M,NOT_VERIFIED,2
ZA_TOP40,READY,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,NOT_VERIFIED,11
ZA_TOP40,READY,PREFERRED_GE_20M,NOT_VERIFIED,13
ZA_TOP40,READY,STANDARD_15_TO_20M,NOT_VERIFIED,4
