Primary_Universe_Index,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,Rows
EU_STOXX600,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,181
US_SP1500,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,137
CA_TSX,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,70
KR_KOSPI200,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,66
AU_ASX200,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,65
AU_ASX200,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,62
EU_STOXX600,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,46
NZ_NZX50,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,44
KR_KOSPI200,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,40
CA_TSX,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,39
BR_IBRX100,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,36
MX_IPC,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,19
JP_N225,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,18
US_SP1500,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,17
BR_IBRX100,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,13
ZA_TOP40,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,11
AU_ASX200,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,10
BR_IBRX100,INSTRUMENT_FAIL,NO_INSTRUMENT_REASON,VALID_INSTRUMENT_GATE_EXCLUSION,10
HK_HSI,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,10
US_SP1500,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,10
US_SP1500,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,8
MX_IPC,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,7
EU_STOXX600,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,6
IN_NIFTY50,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,5
ZA_TOP40,CACHE_NOT_READY:QUARANTINE,INVALID_OHLC_OR_VOLUME,DATA_HISTORY_REMEDIATION_CANDIDATE,5
ZA_TOP40,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,4
AU_ASX200,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,3
AU_ASX200,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,3
CN_CSI300,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,3
NZ_NZX50,LIQUIDITY_FAIL_STRICT,LOW_LIQUIDITY_EXCEPTION_5_TO_15M,VALID_STRICT_LIQUIDITY_EXCLUSION,3
AU_ASX200,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,2
CA_TSX,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,2
EU_STOXX600,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,2
ZA_TOP40,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,2
BR_IBRX100,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,1
BR_IBRX100,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,1
CA_TSX,INSTRUMENT_FAIL,NO_INSTRUMENT_REASON,VALID_INSTRUMENT_GATE_EXCLUSION,1
CN_CSI300,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,1
CN_CSI300,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,1
HK_HSI,INSTRUMENT_FAIL,NO_INSTRUMENT_REASON,VALID_INSTRUMENT_GATE_EXCLUSION,1
KR_KOSPI200,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,1
KR_KOSPI200,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,1
MX_IPC,INSTRUMENT_FAIL,NO_INSTRUMENT_REASON,VALID_INSTRUMENT_GATE_EXCLUSION,1
NZ_NZX50,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,1
US_SP1500,CACHE_NOT_READY:STALE,LAST_BAR_TOO_OLD,DATA_HISTORY_REMEDIATION_CANDIDATE,1
