WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23
WS:XASX:MSB,Mesoblast,Australia,AU_ASX200,XASX,MSB,MSB.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:TUA,Tuas,Australia,AU_ASX200,XASX,TUA,TUA.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:ASK,Abacus Storage King,Australia,AU_ASX200,XASX,ASK,ASK.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:L1G,L1 Group,Australia,AU_ASX200,XASX,L1G,L1G.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,XASX,RYM,RYM.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:360,Life360,Australia,AU_ASX200,XASX,360,360.AX,READY,,OK,PASS,STANDARD_15_TO_20M,18261482.526662212,14873027.812975023,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,DEPOSITARY_INTEREST,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:AMC,Amcor,Australia,AU_ASX200,XASX,AMC,AMC.AX,READY,,OK,PASS,PREFERRED_GE_20M,22757086.41793348,19974259.233198907,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,DEPOSITARY_INTEREST,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:GMG,Goodman Group,Australia,AU_ASX200,XASX,GMG,GMG.AX,READY,,OK,PASS,PREFERRED_GE_20M,51268301.97237745,58979828.29246232,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,STAPLED_ORDINARY_AND_UNIT_SECURITY,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:GPT,GPT Group,Australia,AU_ASX200,XASX,GPT,GPT.AX,READY,,OK,PASS,STANDARD_15_TO_20M,15435755.12950385,14899252.276131358,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,STAPLED_ORDINARY_AND_UNIT_SECURITY,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:JHX,James Hardie,Australia,AU_ASX200,XASX,JHX,JHX.AX,READY,,OK,PASS,PREFERRED_GE_20M,51538370.71316382,44223310.215600714,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,DEPOSITARY_INTEREST,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
