Primary_Universe_Index,Source_Class,Remediation_Class_v0_23,Rows,Recommended_Action_v0_23
EU_STOXX600,INSTRUMENT_UNRESOLVED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,365,PROBE_REPRODUCIBLE_BULK_SECURITY_TYPE_SOURCE_NO_PER_SECURITY_FANOUT
EU_STOXX600,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,227,NO_RULE_WEAKENING_KEEP_EXCLUDED
US_SP1500,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,147,NO_RULE_WEAKENING_KEEP_EXCLUDED
AU_ASX200,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,127,NO_RULE_WEAKENING_KEEP_EXCLUDED
CA_TSX,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,109,NO_RULE_WEAKENING_KEEP_EXCLUDED
KR_KOSPI200,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,106,NO_RULE_WEAKENING_KEEP_EXCLUDED
CA_TSX,INSTRUMENT_UNRESOLVED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,105,PROBE_REPRODUCIBLE_BULK_SECURITY_TYPE_SOURCE_NO_PER_SECURITY_FANOUT
KR_KOSPI200,INSTRUMENT_UNRESOLVED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,92,PROBE_REPRODUCIBLE_BULK_SECURITY_TYPE_SOURCE_NO_PER_SECURITY_FANOUT
HK_HSI,INSTRUMENT_UNRESOLVED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,82,PROBE_REPRODUCIBLE_BULK_SECURITY_TYPE_SOURCE_NO_PER_SECURITY_FANOUT
BR_IBRX100,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,49,NO_RULE_WEAKENING_KEEP_EXCLUDED
NZ_NZX50,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,47,NO_RULE_WEAKENING_KEEP_EXCLUDED
MX_IPC,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,26,NO_RULE_WEAKENING_KEEP_EXCLUDED
US_SP1500,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,26,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
JP_N225,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,18,NO_RULE_WEAKENING_KEEP_EXCLUDED
ZA_TOP40,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,13,NO_RULE_WEAKENING_KEEP_EXCLUDED
AU_ASX200,OTHER_NON_STRICT,VALID_INSTRUMENT_GATE_EXCLUSION,10,NO_RULE_WEAKENING_KEEP_EXCLUDED
BR_IBRX100,OTHER_NON_STRICT,VALID_INSTRUMENT_GATE_EXCLUSION,10,NO_RULE_WEAKENING_KEEP_EXCLUDED
HK_HSI,OTHER_NON_STRICT,VALID_STRICT_LIQUIDITY_EXCLUSION,10,NO_RULE_WEAKENING_KEEP_EXCLUDED
ZA_TOP40,OTHER_NON_STRICT,DATA_HISTORY_REMEDIATION_CANDIDATE,9,AUDIT_CURRENT_PRICE_HISTORY_STATE_BEFORE_RETRY
