Primary_Universe_Index,Gap_Class,Rows,Evidence_Level,Remediation_v0_22
EU_STOXX600,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,365,VERIFIED_FROM_V0_15_QUEUE,NOT_PERFORMED
EU_STOXX600,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,235,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
US_SP1500,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,173,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
AU_ASX200,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,145,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
CA_TSX,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,112,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
KR_KOSPI200,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,108,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
CA_TSX,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,105,VERIFIED_FROM_V0_15_QUEUE,NOT_PERFORMED
KR_KOSPI200,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,92,VERIFIED_FROM_V0_15_QUEUE,NOT_PERFORMED
HK_HSI,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,82,VERIFIED_FROM_V0_15_QUEUE,NOT_PERFORMED
BR_IBRX100,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,61,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
NZ_NZX50,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,48,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
MX_IPC,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,27,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
ZA_TOP40,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,22,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
JP_N225,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,18,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
HK_HSI,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,11,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
MX_IPC,INSTRUMENT_TYPE_NOT_YET_STRICTLY_VERIFIED,6,VERIFIED_FROM_V0_15_QUEUE,NOT_PERFORMED
CN_CSI300,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,5,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
IN_NIFTY50,OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,5,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
AU_ASX200,ACTIVE_SOURCE_ROW_ABSENT_FROM_V0_14_FULL_ELIGIBILITY,2,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
NZ_NZX50,ACTIVE_SOURCE_ROW_ABSENT_FROM_V0_14_FULL_ELIGIBILITY,2,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
MX_IPC,ACTIVE_SOURCE_ROW_ABSENT_FROM_V0_14_FULL_ELIGIBILITY,1,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
US_SP1500,ACTIVE_SOURCE_ROW_ABSENT_FROM_V0_14_FULL_ELIGIBILITY,1,VERIFIED_SET_DIFFERENCE_REASON_NOT_ATTRIBUTED,NOT_PERFORMED
