WS_ID,Primary_Universe_Index,Name,Yahoo_Symbol,Country,Lineage_Class_v0_22,In_Active_Source_v0_22,In_Full_Eligibility_v0_14,In_Strict_v0_14,In_Unresolved_Queue_v0_15,In_Research_Partial_v0_16
WS:XASX:360,AU_ASX200,Life360,360.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:4DX,AU_ASX200,4DMedical,4DX.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:A2M,AU_ASX200,a2 Milk Company,A2M.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:AAI,AU_ASX200,Alcoa,AAI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:AFI,AU_ASX200,Australian Foundation Investment Company,AFI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:AGL,AU_ASX200,AGL Energy,AGL.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:AIA,AU_ASX200,Auckland International Airport Limited,AIA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ALD,AU_ASX200,Ampol,ALD.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:ALK,AU_ASX200,Alkane Resources,ALK.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ALL,AU_ASX200,Aristocrat Leisure,ALL.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:ALQ,AU_ASX200,ALS,ALQ.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:ALX,AU_ASX200,Atlas Arteria,ALX.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:AMC,AU_ASX200,Amcor,AMC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:AMP,AU_ASX200,AMP,AMP.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ANN,AU_ASX200,Ansell,ANN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ANZ,AU_ASX200,Australia & New Zealand Banking Group,ANZ.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:APA,AU_ASX200,APA Group,APA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
