Primary_Universe_Index,Phase2_Source_Rows,Active_Source_Rows,Full_Eligibility_Rows_v0_14,Research_Partial_Strict_Rows_v0_16,Instrument_Unresolved_Rows_v0_15,Other_NonStrict_Rows,Active_Absent_From_Full_Eligibility,Research_Partial_Coverage_Pct_of_Active,Lineage_Accounting_OK,Global_P0_Coverage_Gate_v0_22
AU_ASX200,200,200,198,53,0,145,2,26.5,True,BLOCKED
BR_IBRX100,99,99,99,38,0,61,0,38.3838,True,BLOCKED
CA_TSX,217,217,217,0,105,112,0,0.0,True,BLOCKED
CN_CSI300,300,300,300,295,0,5,0,98.3333,True,BLOCKED
EU_STOXX600,600,600,600,0,365,235,0,0.0,True,BLOCKED
HK_HSI,93,93,93,0,82,11,0,0.0,True,BLOCKED
IN_NIFTY50,50,50,50,45,0,5,0,90.0,True,BLOCKED
JP_N225,225,225,225,207,0,18,0,92.0,True,BLOCKED
KR_KOSPI200,200,200,200,0,92,108,0,0.0,True,BLOCKED
MX_IPC,34,34,33,0,6,27,1,0.0,True,BLOCKED
NZ_NZX50,50,50,48,0,0,48,2,0.0,True,BLOCKED
TW_TW50,50,50,50,50,0,0,0,100.0,True,COMPLETE
US_SP1500,1506,1506,1505,1332,0,173,1,88.4462,True,BLOCKED
ZA_TOP40,40,39,39,17,0,22,0,43.5897,True,BLOCKED
