Yahoo_Symbol,Primary_Ticker,Issuer,Security,GICS_Sector,GICS_Sub,CIK,Wikidata_QID,ISIN,Primary_MIC,Instrument_Type,Admission_Status,Admission_Reason,Evidence_Source,Evidence_Status,SP500_Membership,WS_ID
MMM,MMM,3M,3M,Industrials,Industrial Conglomerates,66740,Q159433,US88579Y1010,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US88579Y1010:XNYS
AOS,AOS,A. O. Smith,A. O. Smith,Industrials,Building Products,91142,Q4648219,US8318652091,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US8318652091:XNYS
ABT,ABT,Abbott Laboratories,Abbott Laboratories,Health Care,Health Care Equipment,1800,Q306764,US0028241000,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0028241000:XNYS
ABBV,ABBV,AbbVie,AbbVie,Health Care,Biotechnology,1551152,Q14662364,US00287Y1091,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00287Y1091:XNYS
ADBE,ADBE,Adobe,Adobe Inc.,Information Technology,Application Software,796343,Q11463,US00724F1012,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00724F1012:XNAS
AES,AES,AES Corporation,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761,Q291508,US00130H1059,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00130H1059:XNYS
AFL,AFL,Aflac,Aflac,Financials,Life & Health Insurance,4977,Q26311,US0010551028,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0010551028:XNYS
A,A,Agilent Technologies,Agilent Technologies,Health Care,Life Sciences Tools & Services,1090872,Q393762,US00846U1016,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00846U1016:XNYS
APD,APD,Air Products & Chemicals,Air Products,Materials,Industrial Gases,2969,Q407744,US0091581068,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0091581068:XNYS
ABNB,ABNB,Airbnb,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1559720,Q63327,US0090661010,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0090661010:XNAS
AKAM,AKAM,Akamai Technologies,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1086222,Q415598,US00971T1016,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US00971T1016:XNAS
ALB,ALB,Albemarle Corporation,Albemarle Corporation,Materials,Specialty Chemicals,915913,Q127074,US0126531013,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0126531013:XNYS
ALGN,ALGN,Align Technology,Align Technology,Health Care,Health Care Supplies,1097149,Q30272258,US0162551016,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0162551016:XNAS
LNT,LNT,Alliant Energy,Alliant Energy,Utilities,Electric Utilities,352541,Q4732492,US0188021085,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0188021085:XNAS
ALL,ALL,Allstate,Allstate,Financials,Property & Casualty Insurance,899051,Q2645636,US0200021014,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0200021014:XNYS
MO,MO,Altria,Altria,Consumer Staples,Tobacco,764180,Q445007,US02209S1033,XNYS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US02209S1033:XNYS
AMZN,AMZN,Amazon,Amazon,Consumer Discretionary,Broadline Retail,1018724,Q3884,US0231351067,XNAS,COMMON_STOCK,ADMIT,SP500_COMMON_XNYS_OR_XNAS_ISIN,wikipedia_list_sp500+wikidata_P946_P414,VERIFIED,VERIFIED_SECONDARY_WIKIPEDIA,US1:US0231351067:XNAS
