Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q159433,XNYS,US1:US88579Y1010:XNYS,MMM,US88579Y1010,1,ELIGIBLE,unapplied to 1633
Q4648219,XNYS,US1:US8318652091:XNYS,AOS,US8318652091,1,ELIGIBLE,unapplied to 1633
Q306764,XNYS,US1:US0028241000:XNYS,ABT,US0028241000,1,ELIGIBLE,unapplied to 1633
Q14662364,XNYS,US1:US00287Y1091:XNYS,ABBV,US00287Y1091,1,ELIGIBLE,unapplied to 1633
Q11463,XNAS,US1:US00724F1012:XNAS,ADBE,US00724F1012,1,ELIGIBLE,unapplied to 1633
Q291508,XNYS,US1:US00130H1059:XNYS,AES,US00130H1059,1,ELIGIBLE,unapplied to 1633
Q26311,XNYS,US1:US0010551028:XNYS,AFL,US0010551028,1,ELIGIBLE,unapplied to 1633
Q393762,XNYS,US1:US00846U1016:XNYS,A,US00846U1016,1,ELIGIBLE,unapplied to 1633
Q407744,XNYS,US1:US0091581068:XNYS,APD,US0091581068,1,ELIGIBLE,unapplied to 1633
Q63327,XNAS,US1:US0090661010:XNAS,ABNB,US0090661010,1,ELIGIBLE,unapplied to 1633
Q415598,XNAS,US1:US00971T1016:XNAS,AKAM,US00971T1016,1,ELIGIBLE,unapplied to 1633
Q127074,XNYS,US1:US0126531013:XNYS,ALB,US0126531013,1,ELIGIBLE,unapplied to 1633
Q30272258,XNAS,US1:US0162551016:XNAS,ALGN,US0162551016,1,ELIGIBLE,unapplied to 1633
Q4732492,XNAS,US1:US0188021085:XNAS,LNT,US0188021085,1,ELIGIBLE,unapplied to 1633
Q2645636,XNYS,US1:US0200021014:XNYS,ALL,US0200021014,1,ELIGIBLE,unapplied to 1633
Q445007,XNYS,US1:US02209S1033:XNYS,MO,US02209S1033,1,ELIGIBLE,unapplied to 1633
Q3884,XNAS,US1:US0231351067:XNAS,AMZN,US0231351067,1,ELIGIBLE,unapplied to 1633
Q462984,XNYS,US1:US0236081024:XNYS,AEE,US0236081024,1,ELIGIBLE,unapplied to 1633
Q464092,XNYS,US1:US0255371017:XNYS,AEP,US0255371017,1,ELIGIBLE,unapplied to 1633
Q194360,XNYS,US1:US0258161092:XNYS,AXP,US0258161092,1,ELIGIBLE,unapplied to 1633
Q212235,XNYS,US1:US0268747849:XNYS,AIG,US0268747849,1,ELIGIBLE,unapplied to 1633
Q467238,XNYS,US1:US0304201033:XNYS,AWK,US0304201033,1,ELIGIBLE,unapplied to 1633
Q295261,XNYS,US1:US03076C1062:XNYS,AMP,US03076C1062,1,ELIGIBLE,unapplied to 1633
Q470317,XNYS,US1:US0311001004:XNYS,AME,US0311001004,1,ELIGIBLE,unapplied to 1633
Q470517,XNAS,US1:US0311621009:XNAS,AMGN,US0311621009,1,ELIGIBLE,unapplied to 1633
Q474621,XNYS,US1:US0320951017:XNYS,APH,US0320951017,1,ELIGIBLE,unapplied to 1633
Q484930,XNAS,US1:US0326541051:XNAS,ADI,US0326541051,1,ELIGIBLE,unapplied to 1633
Q119991,XNYS,US1:US0374111054:XNYS,APA,US0374111054,1,ELIGIBLE,unapplied to 1633
Q312,XNAS,US1:US0378331005:XNAS,AAPL,US0378331005,1,ELIGIBLE,unapplied to 1633
Q621610,XNAS,US1:US0382221051:XNAS,AMAT,US0382221051,1,ELIGIBLE,unapplied to 1633
Q27150212,XNAS,US1:US03831W1080:XNAS,APP,US03831W1080,1,ELIGIBLE,unapplied to 1633
Q267417,XNYS,US1:US0394831020:XNYS,ADM,US0394831020,1,ELIGIBLE,unapplied to 1633
Q4789079,XNYS,US1:US03990B1017:XNYS,ARES,US03990B1017,1,ELIGIBLE,unapplied to 1633
Q2861324,XNYS,US1:US0404131064:XNYS,ANET,US0404131064,1,ELIGIBLE,unapplied to 1633
Q4799191,XNYS,US1:US3635761097:XNYS,AJG,US3635761097,1,ELIGIBLE,unapplied to 1633
Q204296,XNYS,US1:US04621X1081:XNYS,AIZ,US04621X1081,1,ELIGIBLE,unapplied to 1633
Q35476,XNYS,US1:US00206R1023:XNYS,T,US00206R1023,1,ELIGIBLE,unapplied to 1633
Q757689,XNYS,US1:US0495601058:XNYS,ATO,US0495601058,1,ELIGIBLE,unapplied to 1633
Q628051,XNAS,US1:US0527691069:XNAS,ADSK,US0527691069,1,ELIGIBLE,unapplied to 1633
Q489080,XNAS,US1:US0530151036:XNAS,ADP,US0530151036,1,ELIGIBLE,unapplied to 1633
Q4826087,XNYS,US1:US0533321024:XNYS,AZO,US0533321024,1,ELIGIBLE,unapplied to 1633
Q790650,XNYS,US1:US0536111091:XNYS,AVY,US0536111091,1,ELIGIBLE,unapplied to 1633
Q690604,XNAS,US1:US87651B1044:XNAS,AXON,US87651B1044,1,ELIGIBLE,unapplied to 1633
Q804353,XNYS,US1:US05722G1004:XNYS,BKR,US05722G1004,1,ELIGIBLE,unapplied to 1633
Q4034815,XNYS,US1:US0584981064:XNYS,BALL,US0584981064,1,ELIGIBLE,unapplied to 1633
Q487907,XNYS,US1:US0605051046:XNYS,BAC,US0605051046,1,ELIGIBLE,unapplied to 1633
Q761965,XNYS,US1:US0718131099:XNYS,BAX,US0718131099,1,ELIGIBLE,unapplied to 1633
Q813780,XNYS,US1:US0758871091:XNYS,BDX,US0758871091,1,ELIGIBLE,unapplied to 1633
Q533415,XNYS,US1:US0865161014:XNYS,BBY,US0865161014,1,ELIGIBLE,unapplied to 1633
Q19873469,XNAS,US1:US09073M1045:XNAS,TECH,US09073M1045,1,ELIGIBLE,unapplied to 1633
Q864338,XNAS,US1:US09062X1037:XNAS,BIIB,US09062X1037,1,ELIGIBLE,unapplied to 1633
Q219635,XNYS,US1:US09247X1019:XNYS,BLK,US09247X1019,1,ELIGIBLE,unapplied to 1633
Q880942,XNYS,US1:US09253U1088:XNYS,BX,US09253U1088,1,ELIGIBLE,unapplied to 1633
Q110778747,XNYS,US1:US8522341036:XNYS,XYZ,US8522341036,1,ELIGIBLE,unapplied to 1633
Q589288,XNYS,US1:US0640581007:XNYS,BNY,US0640581007,1,ELIGIBLE,unapplied to 1633
Q66,XNYS,US1:US0970231058:XNYS,BA,US0970231058,1,ELIGIBLE,unapplied to 1633
Q7242653,XNAS,US1:US09857L1089:XNAS,BKNG,US09857L1089,1,ELIGIBLE,unapplied to 1633
Q894585,XNYS,US1:US1011371077:XNYS,BSX,US1011371077,1,ELIGIBLE,unapplied to 1633
Q266423,XNYS,US1:US1101221083:XNYS,BMY,US1101221083,1,ELIGIBLE,unapplied to 1633
