WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US88579Y1010:XNYS,MMM,US88579Y1010,XNYS,3M,ADMIT,PASS,PREFERRED,383334070.7,ELIGIBLE,NO
US1:US8318652091:XNYS,AOS,US8318652091,XNYS,A. O. Smith,ADMIT,PASS,PREFERRED,63365752.5,ELIGIBLE,NO
US1:US0028241000:XNYS,ABT,US0028241000,XNYS,Abbott Laboratories,ADMIT,PASS,PREFERRED,678876418.95,ELIGIBLE,NO
US1:US00287Y1091:XNYS,ABBV,US00287Y1091,XNYS,AbbVie,ADMIT,PASS,PREFERRED,952189374.03,ELIGIBLE,NO
US1:US00724F1012:XNAS,ADBE,US00724F1012,XNAS,Adobe,ADMIT,PASS,PREFERRED,948386747.82,ELIGIBLE,NO
US1:US00130H1059:XNYS,AES,US00130H1059,XNYS,AES Corporation,ADMIT,PASS,PREFERRED,86088652.38,ELIGIBLE,NO
US1:US0010551028:XNYS,AFL,US0010551028,XNYS,Aflac,ADMIT,PASS,PREFERRED,195245909.55,ELIGIBLE,NO
US1:US00846U1016:XNYS,A,US00846U1016,XNYS,Agilent Technologies,ADMIT,PASS,PREFERRED,336069810.0,ELIGIBLE,NO
US1:US0091581068:XNYS,APD,US0091581068,XNYS,Air Products & Chemicals,ADMIT,PASS,PREFERRED,230318690.66,ELIGIBLE,NO
US1:US0090661010:XNAS,ABNB,US0090661010,XNAS,Airbnb,ADMIT,PASS,PREFERRED,770919809.65,ELIGIBLE,NO
US1:US00971T1016:XNAS,AKAM,US00971T1016,XNAS,Akamai Technologies,ADMIT,PASS,PREFERRED,267334409.83,ELIGIBLE,NO
US1:US0126531013:XNYS,ALB,US0126531013,XNYS,Albemarle Corporation,ADMIT,PASS,PREFERRED,229882633.7,ELIGIBLE,NO
US1:US0162551016:XNAS,ALGN,US0162551016,XNAS,Align Technology,ADMIT,PASS,PREFERRED,108574047.49,ELIGIBLE,NO
US1:US0188021085:XNAS,LNT,US0188021085,XNAS,Alliant Energy,ADMIT,PASS,PREFERRED,120748085.14,ELIGIBLE,NO
US1:US0200021014:XNYS,ALL,US0200021014,XNYS,Allstate,ADMIT,PASS,PREFERRED,321213698.06,ELIGIBLE,NO
US1:US02209S1033:XNYS,MO,US02209S1033,XNYS,Altria,ADMIT,PASS,PREFERRED,552989887.17,ELIGIBLE,NO
US1:US0231351067:XNAS,AMZN,US0231351067,XNAS,Amazon,ADMIT,PASS,PREFERRED,7176620577.59,ELIGIBLE,NO
US1:US0236081024:XNYS,AEE,US0236081024,XNYS,Ameren,ADMIT,PASS,PREFERRED,115358510.0,ELIGIBLE,NO
US1:US0255371017:XNYS,AEP,US0255371017,XNYS,American Electric Power,ADMIT,PASS,PREFERRED,317004733.35,ELIGIBLE,NO
US1:US0258161092:XNYS,AXP,US0258161092,XNYS,American Express,ADMIT,PASS,PREFERRED,638038162.29,ELIGIBLE,NO
US1:US0268747849:XNYS,AIG,US0268747849,XNYS,American International Group,ADMIT,PASS,PREFERRED,199145077.91,ELIGIBLE,NO
US1:US0304201033:XNYS,AWK,US0304201033,XNYS,American Water Works,ADMIT,PASS,PREFERRED,236596568.17,ELIGIBLE,NO
US1:US03076C1062:XNYS,AMP,US03076C1062,XNYS,AMP Limited,ADMIT,PASS,PREFERRED,179634962.33,ELIGIBLE,NO
US1:US0311001004:XNYS,AME,US0311001004,XNYS,Ametek,ADMIT,PASS,PREFERRED,301615216.58,ELIGIBLE,NO
US1:US0311621009:XNAS,AMGN,US0311621009,XNAS,Amgen,ADMIT,PASS,PREFERRED,829804249.35,ELIGIBLE,NO
US1:US0320951017:XNYS,APH,US0320951017,XNYS,Amphenol,ADMIT,PASS,PREFERRED,762600616.22,ELIGIBLE,NO
