WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Unique_Bars,Valid_Bars,Future_Bars,Duplicate_Dates,History_State,History_Source
US1:US88579Y1010:XNYS,MMM,US88579Y1010,XNYS,502,502,0,0,PASS,yfinance_download
US1:US8318652091:XNYS,AOS,US8318652091,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0028241000:XNYS,ABT,US0028241000,XNYS,502,502,0,0,PASS,yfinance_download
US1:US00287Y1091:XNYS,ABBV,US00287Y1091,XNYS,502,502,0,0,PASS,yfinance_download
US1:US00724F1012:XNAS,ADBE,US00724F1012,XNAS,502,502,0,0,PASS,yfinance_download
US1:US00130H1059:XNYS,AES,US00130H1059,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0010551028:XNYS,AFL,US0010551028,XNYS,502,502,0,0,PASS,yfinance_download
US1:US00846U1016:XNYS,A,US00846U1016,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0091581068:XNYS,APD,US0091581068,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0090661010:XNAS,ABNB,US0090661010,XNAS,502,502,0,0,PASS,yfinance_download
US1:US00971T1016:XNAS,AKAM,US00971T1016,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0126531013:XNYS,ALB,US0126531013,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0162551016:XNAS,ALGN,US0162551016,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0188021085:XNAS,LNT,US0188021085,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0200021014:XNYS,ALL,US0200021014,XNYS,502,502,0,0,PASS,yfinance_download
US1:US02209S1033:XNYS,MO,US02209S1033,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0231351067:XNAS,AMZN,US0231351067,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0236081024:XNYS,AEE,US0236081024,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0255371017:XNYS,AEP,US0255371017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0258161092:XNYS,AXP,US0258161092,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0268747849:XNYS,AIG,US0268747849,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0304201033:XNYS,AWK,US0304201033,XNYS,502,502,0,0,PASS,yfinance_download
US1:US03076C1062:XNYS,AMP,US03076C1062,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0311001004:XNYS,AME,US0311001004,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0311621009:XNAS,AMGN,US0311621009,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0320951017:XNYS,APH,US0320951017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0326541051:XNAS,ADI,US0326541051,XNAS,502,502,0,0,PASS,yfinance_download
US1:US0374111054:XNYS,APA,US0374111054,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0378331005:XNAS,AAPL,US0378331005,XNAS,502,502,0,0,PASS,yfinance_download
