WS_ID,Yahoo_Symbol,Liquidity_Class,MedianTurnover20_EUR,Usable20,FX,Quote_Scale
US1:US88579Y1010:XNYS,MMM,PREFERRED,383334070.7,20,USDEUR=X,1
US1:US8318652091:XNYS,AOS,PREFERRED,63365752.5,20,USDEUR=X,1
US1:US0028241000:XNYS,ABT,PREFERRED,678876418.95,20,USDEUR=X,1
US1:US00287Y1091:XNYS,ABBV,PREFERRED,952189374.03,20,USDEUR=X,1
US1:US00724F1012:XNAS,ADBE,PREFERRED,948386747.82,20,USDEUR=X,1
US1:US00130H1059:XNYS,AES,PREFERRED,86088652.38,20,USDEUR=X,1
US1:US0010551028:XNYS,AFL,PREFERRED,195245909.55,20,USDEUR=X,1
US1:US00846U1016:XNYS,A,PREFERRED,336069810.0,20,USDEUR=X,1
US1:US0091581068:XNYS,APD,PREFERRED,230318690.66,20,USDEUR=X,1
US1:US0090661010:XNAS,ABNB,PREFERRED,770919809.65,20,USDEUR=X,1
US1:US00971T1016:XNAS,AKAM,PREFERRED,267334409.83,20,USDEUR=X,1
US1:US0126531013:XNYS,ALB,PREFERRED,229882633.7,20,USDEUR=X,1
US1:US0162551016:XNAS,ALGN,PREFERRED,108574047.49,20,USDEUR=X,1
US1:US0188021085:XNAS,LNT,PREFERRED,120748085.14,20,USDEUR=X,1
US1:US0200021014:XNYS,ALL,PREFERRED,321213698.06,20,USDEUR=X,1
US1:US02209S1033:XNYS,MO,PREFERRED,552989887.17,20,USDEUR=X,1
US1:US0231351067:XNAS,AMZN,PREFERRED,7176620577.59,20,USDEUR=X,1
US1:US0236081024:XNYS,AEE,PREFERRED,115358510.0,20,USDEUR=X,1
US1:US0255371017:XNYS,AEP,PREFERRED,317004733.35,20,USDEUR=X,1
US1:US0258161092:XNYS,AXP,PREFERRED,638038162.29,20,USDEUR=X,1
US1:US0268747849:XNYS,AIG,PREFERRED,199145077.91,20,USDEUR=X,1
US1:US0304201033:XNYS,AWK,PREFERRED,236596568.17,20,USDEUR=X,1
US1:US03076C1062:XNYS,AMP,PREFERRED,179634962.33,20,USDEUR=X,1
US1:US0311001004:XNYS,AME,PREFERRED,301615216.58,20,USDEUR=X,1
US1:US0311621009:XNAS,AMGN,PREFERRED,829804249.35,20,USDEUR=X,1
US1:US0320951017:XNYS,APH,PREFERRED,762600616.22,20,USDEUR=X,1
US1:US0326541051:XNAS,ADI,PREFERRED,1071461841.18,20,USDEUR=X,1
US1:US0374111054:XNYS,APA,PREFERRED,176975065.42,20,USDEUR=X,1
US1:US0378331005:XNAS,AAPL,PREFERRED,10641476897.86,20,USDEUR=X,1
US1:US0382221051:XNAS,AMAT,PREFERRED,2761907727.55,20,USDEUR=X,1
US1:US03831W1080:XNAS,APP,PREFERRED,1285167108.06,20,USDEUR=X,1
US1:US0394831020:XNYS,ADM,PREFERRED,245167092.15,20,USDEUR=X,1
US1:US03990B1017:XNYS,ARES,PREFERRED,218502315.77,20,USDEUR=X,1
US1:US0404131064:XNYS,ANET,PREFERRED,851319281.43,20,USDEUR=X,1
US1:US3635761097:XNYS,AJG,PREFERRED,310959056.3,20,USDEUR=X,1
US1:US04621X1081:XNYS,AIZ,PREFERRED,69762093.84,20,USDEUR=X,1
US1:US00206R1023:XNYS,T,PREFERRED,670096294.59,20,USDEUR=X,1
US1:US0495601058:XNYS,ATO,PREFERRED,131942490.48,20,USDEUR=X,1
US1:US0527691069:XNAS,ADSK,PREFERRED,382245670.27,20,USDEUR=X,1
