WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US88579Y1010:XNYS,US88579Y1010,XNYS,MMM,MMM,3M,383334070.7,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US8318652091:XNYS,US8318652091,XNYS,AOS,AOS,A. O. Smith,63365752.5,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0028241000:XNYS,US0028241000,XNYS,ABT,ABT,Abbott Laboratories,678876418.95,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00287Y1091:XNYS,US00287Y1091,XNYS,ABBV,ABBV,AbbVie,952189374.03,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00724F1012:XNAS,US00724F1012,XNAS,ADBE,ADBE,Adobe,948386747.82,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00130H1059:XNYS,US00130H1059,XNYS,AES,AES,AES Corporation,86088652.38,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0010551028:XNYS,US0010551028,XNYS,AFL,AFL,Aflac,195245909.55,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00846U1016:XNYS,US00846U1016,XNYS,A,A,Agilent Technologies,336069810.0,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0091581068:XNYS,US0091581068,XNYS,APD,APD,Air Products & Chemicals,230318690.66,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0090661010:XNAS,US0090661010,XNAS,ABNB,ABNB,Airbnb,770919809.65,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00971T1016:XNAS,US00971T1016,XNAS,AKAM,AKAM,Akamai Technologies,267334409.83,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0126531013:XNYS,US0126531013,XNYS,ALB,ALB,Albemarle Corporation,229882633.7,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0162551016:XNAS,US0162551016,XNAS,ALGN,ALGN,Align Technology,108574047.49,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0188021085:XNAS,US0188021085,XNAS,LNT,LNT,Alliant Energy,120748085.14,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0200021014:XNYS,US0200021014,XNYS,ALL,ALL,Allstate,321213698.06,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US02209S1033:XNYS,US02209S1033,XNYS,MO,MO,Altria,552989887.17,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0231351067:XNAS,US0231351067,XNAS,AMZN,AMZN,Amazon,7176620577.59,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0236081024:XNYS,US0236081024,XNYS,AEE,AEE,Ameren,115358510.0,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0255371017:XNYS,US0255371017,XNYS,AEP,AEP,American Electric Power,317004733.35,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0258161092:XNYS,US0258161092,XNYS,AXP,AXP,American Express,638038162.29,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0268747849:XNYS,US0268747849,XNYS,AIG,AIG,American International Group,199145077.91,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0304201033:XNYS,US0304201033,XNYS,AWK,AWK,American Water Works,236596568.17,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US03076C1062:XNYS,US03076C1062,XNYS,AMP,AMP,AMP Limited,179634962.33,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0311001004:XNYS,US0311001004,XNYS,AME,AME,Ametek,301615216.58,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0311621009:XNAS,US0311621009,XNAS,AMGN,AMGN,Amgen,829804249.35,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0320951017:XNYS,US0320951017,XNYS,APH,APH,Amphenol,762600616.22,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0326541051:XNAS,US0326541051,XNAS,ADI,ADI,Analog Devices,1071461841.18,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0378331005:XNAS,US0378331005,XNAS,AAPL,AAPL,Apple Inc.,10641476897.86,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0382221051:XNAS,US0382221051,XNAS,AMAT,AMAT,Applied Materials,2761907727.55,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US03831W1080:XNAS,US03831W1080,XNAS,APP,APP,AppLovin,1285167108.06,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0394831020:XNYS,US0394831020,XNYS,ADM,ADM,Admiral Group,245167092.15,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US03990B1017:XNYS,US03990B1017,XNYS,ARES,ARES,Ares Management,218502315.77,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US3635761097:XNYS,US3635761097,XNYS,AJG,AJG,Arthur J. Gallagher & Co.,310959056.3,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US04621X1081:XNYS,US04621X1081,XNYS,AIZ,AIZ,Air New Zealand,69762093.84,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US00206R1023:XNYS,US00206R1023,XNYS,T,T,AT&T,670096294.59,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0495601058:XNYS,US0495601058,XNYS,ATO,ATO,Atos SE,131942490.48,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0527691069:XNAS,US0527691069,XNAS,ADSK,ADSK,Autodesk,382245670.27,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0530151036:XNAS,US0530151036,XNAS,ADP,ADP,Automatic Data Processing,476200237.77,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0533321024:XNYS,US0533321024,XNYS,AZO,AZO,AutoZone,702626340.68,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0536111091:XNYS,US0536111091,XNYS,AVY,AVY,Avery Dennison,111435632.1,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US05722G1004:XNYS,US05722G1004,XNYS,BKR,BKR,Baker Hughes,312561065.24,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0584981064:XNYS,US0584981064,XNYS,BALL,BALL,Ball Corporation,86944654.87,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0605051046:XNYS,US0605051046,XNYS,BAC,BAC,Bank of America,1513781841.36,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0718131099:XNYS,US0718131099,XNYS,BAX,BAX,Baxter International,109285062.28,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0758871091:XNYS,US0758871091,XNYS,BDX,BDX,Becton Dickinson,238286848.13,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0865161014:XNYS,US0865161014,XNYS,BBY,BBY,Best Buy,242734148.55,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US09073M1045:XNAS,US09073M1045,XNAS,TECH,TECH,Bio-Techne,142455973.7,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US09062X1037:XNAS,US09062X1037,XNAS,BIIB,BIIB,Biogen,126981606.22,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US8522341036:XNYS,US8522341036,XNYS,XYZ,XYZ,"Block, Inc.",265690912.78,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0640581007:XNYS,US0640581007,XNYS,BNY,BNY,The Bank of New York Mellon,322529856.51,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US0970231058:XNYS,US0970231058,XNYS,BA,BA,Boeing,882578326.73,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US09857L1089:XNAS,US09857L1089,XNAS,BKNG,BKNG,priceline.com,850446082.77,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1011371077:XNYS,US1011371077,XNYS,BSX,BSX,Boston Scientific,749060328.78,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1101221083:XNYS,US1101221083,XNYS,BMY,BMY,Bristol-Myers Squibb,425691011.94,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US11135F1012:XNAS,US11135F1012,XNAS,AVGO,AVGO,Broadcom,6145144221.26,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US11133T1034:XNYS,US11133T1034,XNYS,BR,BR,Broadridge Financial Solutions,179580857.8,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1152361010:XNYS,US1152361010,XNYS,BRO,BRO,Brown & Brown,98137426.73,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US12008R1077:XNYS,US12008R1077,XNYS,BLDR,BLDR,Builders FirstSource,101333308.21,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US12541W2098:XNAS,US12541W2098,XNAS,CHRW,CHRW,C. H. Robinson Worldwide,143432757.02,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1273871087:XNAS,US1273871087,XNAS,CDNS,CDNS,Cadence Design Systems,574269364.99,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US14040H1059:XNYS,US14040H1059,XNYS,COF,COF,Capital One,542029873.45,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US14149Y1082:XNYS,US14149Y1082,XNYS,CAH,CAH,Cardinal Health,320528433.69,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US14448C1045:XNYS,US14448C1045,XNYS,CARR,CARR,Carrier Corporation,265598880.95,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1468691027:XNYS,US1468691027,XNYS,CVNA,CVNA,Carvana,437900738.99,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1475281036:XNAS,US1475281036,XNAS,CASY,CASY,Casey's General Stores,231158159.92,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1491231015:XNYS,US1491231015,XNYS,CAT,CAT,Caterpillar Inc.,1671980015.94,CLASS_A_CANDIDATE_NOT_UNIVERSE
