WS_ID,Ticker,ISIN,MIC,Instrument,Membership,IVV_ISIN,Identity,History,Liquidity,Eligibility,Canonical,Integration_Class,HONA
US1:US88579Y1010:XNYS,MMM,US88579Y1010,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US88579Y1010,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US8318652091:XNYS,AOS,US8318652091,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US8318652091,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0028241000:XNYS,ABT,US0028241000,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0028241000,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00287Y1091:XNYS,ABBV,US00287Y1091,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00287Y1091,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00724F1012:XNAS,ADBE,US00724F1012,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00724F1012,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00130H1059:XNYS,AES,US00130H1059,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00130H1059,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0010551028:XNYS,AFL,US0010551028,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0010551028,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00846U1016:XNYS,A,US00846U1016,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00846U1016,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0091581068:XNYS,APD,US0091581068,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0091581068,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0090661010:XNAS,ABNB,US0090661010,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0090661010,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00971T1016:XNAS,AKAM,US00971T1016,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00971T1016,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0126531013:XNYS,ALB,US0126531013,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0126531013,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0162551016:XNAS,ALGN,US0162551016,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0162551016,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0188021085:XNAS,LNT,US0188021085,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0188021085,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
