WS_ID,Primary_Ticker,ISIN,Primary_MIC,Admission_Reason,GICS_Sector,Review_Category,IVV_Ticker,IVV_ISIN,Ready,Integration_Class
US1:NOISIN:XNYS,ACN,,XNYS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,ACN,IE00B4BNMY34,NOT_READY,D
US1:US0079031078:NOMIC,AMD,US0079031078,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,AMD,US0079031078,NOT_READY,D
US1:US0152711091:XNYS,ARE,US0152711091,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,ARE,US0152711091,NOT_READY,D
US1:NOISIN:XNYS,ALLE,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,ALLE,IE00BFRT3W74,NOT_READY,D
US1:NOISIN:XNAS,GOOGL,US02079K1079|US02079K3059,XNAS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_SHARE_CLASS,GOOGL,US02079K3059,NOT_READY,D
US1:NOISIN:XNAS,GOOG,US02079K1079|US02079K3059,XNAS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_SHARE_CLASS,GOOG,US02079K1079,NOT_READY,D
US1:NOISIN:XNYS,AMCR,,XNYS,IDENTITY_INCOMPLETE,Materials,REVIEW_IDENTITY,AMCR,JE00BV7DQ550,NOT_READY,D
US1:US03027X1000:XNYS,AMT,US03027X1000,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,AMT,US03027X1000,NOT_READY,D
US1:NOISIN:XNYS,AON,,XNYS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,AON,IE00BLP1HW54,NOT_READY,D
US1:NOISIN:XNYS,APO,US0376123065|US03768E1055,XNYS,IDENTITY_AMBIGUOUS,Financials,REVIEW_SHARE_CLASS,APO,US03769M1062,NOT_READY,D
US1:NOISIN:XNYS,APTV,,XNYS,IDENTITY_INCOMPLETE,Consumer Discretionary,REVIEW_IDENTITY,APTV,JE00BTDN8H13,NOT_READY,D
US1:NOISIN:XNAS,ACGL,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,ACGL,BMG0450A1053,NOT_READY,D
US1:NOISIN:XNYS,BRK.B,US0846701086|US0846707026,XNYS,IDENTITY_AMBIGUOUS,Financials,REVIEW_SHARE_CLASS,BRKB,US0846707026,NOT_READY,D
US1:NOISIN:XNYS,BG,,XNYS,IDENTITY_INCOMPLETE,Consumer Staples,REVIEW_IDENTITY,BG,CH1300646267,NOT_READY,D
US1:US1011211018:XNYS,BXP,US1011211018,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,BXP,US1011211018,NOT_READY,D
US1:US1331311027:XNYS,CPT,US1331311027,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,CPT,US1331311027,NOT_READY,D
US1:NOISIN:XNYS,CCL,,XNYS,IDENTITY_INCOMPLETE,Consumer Discretionary,REVIEW_IDENTITY,CCL,BMG2004J1036,NOT_READY,D
US1:US12504L1098:XNYS,CBRE,US12504L1098,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,CBRE,US12504L1098,NOT_READY,D
US1:US1717793095:NOMIC,CIEN,US1717793095,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,CIEN,US1717793095,NOT_READY,D
US1:NOISIN:XNAS,COHR,US1924791031|US9021041085,XNAS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_SHARE_CLASS,COHR,US19247G1076,NOT_READY,D
US1:US2103711006:NOMIC,CEG,US2103711006,XNAS|XNYS,IDENTITY_AMBIGUOUS,Utilities,REVIEW_PRIMARY_MIC,CEG,US21037T1097,NOT_READY,D
US1:US22160N1090:XNAS,CSGP,US22160N1090,XNAS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,CSGP,US22160N1090,NOT_READY,D
US1:NOISIN:XNYS,CRH,,XNYS,IDENTITY_INCOMPLETE,Materials,REVIEW_IDENTITY,CRH,IE0001827041,NOT_READY,D
US1:US22822V1017:XNYS,CCI,US22822V1017,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,CCI,US22822V1017,NOT_READY,D
US1:US1264081035:NOMIC,CSX,US1264081035,XNAS|XNYS,IDENTITY_AMBIGUOUS,Industrials,REVIEW_PRIMARY_MIC,CSX,US1264081035,NOT_READY,D
US1:US2435371073:NOMIC,DECK,US2435371073,XNAS|XNYS,IDENTITY_AMBIGUOUS,Consumer Discretionary,REVIEW_PRIMARY_MIC,DECK,US2435371073,NOT_READY,D
US1:NOISIN:XNYS,DELL,US24703L1036|US24703L2025,XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_SHARE_CLASS,DELL,US24703L2025,NOT_READY,D
US1:US2538681030:XNYS,DLR,US2538681030,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,DLR,US2538681030,NOT_READY,D
US1:US25809K1051:NOMIC,DASH,US25809K1051,XNAS|XNYS,IDENTITY_AMBIGUOUS,Consumer Discretionary,REVIEW_PRIMARY_MIC,DASH,US25809K1051,NOT_READY,D
US1:NOISIN:XNYS,DOW,US2605431038|US2605571031,XNYS,IDENTITY_AMBIGUOUS,Materials,REVIEW_SHARE_CLASS,DOW,US2605571031,NOT_READY,D
US1:NOISIN:XNYS,DTE,,XNYS,IDENTITY_INCOMPLETE,Utilities,REVIEW_IDENTITY,DTE,US2333311072,NOT_READY,D
US1:NOISIN:XNYS,ETN,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,ETN,IE00B8KQN827,NOT_READY,D
US1:US29444U5020:XNAS,EQIX,US29444U5020,XNAS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,EQIX,US29444U7000,NOT_READY,D
US1:NOISIN:XNAS,ERIE,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,ERIE,US29530P1021,NOT_READY,D
US1:US2971781057:XNYS,ESS,US2971781057,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,ESS,US2971781057,NOT_READY,D
US1:NOISIN:XNYS,EG,,XNYS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,EG,BMG3223R1088,NOT_READY,D
US1:US30225T1025:XNYS,EXR,US30225T1025,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,EXR,US30225T1025,NOT_READY,D
US1:US3137451015:XNYS,FRT,US3137451015,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,FRT,US3137451015,NOT_READY,D
US1:NOISIN:XNYS,FDXF,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,FDXF,US3143521058,NOT_READY,D
US1:NOISIN:XNAS,FITB,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,FITB,US3167731005,NOT_READY,D
US1:NOISIN:XNAS,FLEX,,XNAS,IDENTITY_INCOMPLETE,Information Technology,REVIEW_IDENTITY,FLEX,SG9999000020,NOT_READY,D
US1:NOISIN:XNAS,FOXA,US35137L1052|US35137L2043|US90130A1016|US90130A2006|US90130A3095|US90130A4085,XNAS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_SHARE_CLASS,FOXA,US35137L1052,NOT_READY,D
US1:NOISIN:NOMIC,FOX,US35137L1052|US35137L2043|US90130A1016|US90130A2006|US90130A3095|US90130A4085,XNAS|XNYS,IDENTITY_AMBIGUOUS,Communication Services,REVIEW_MULTIPLE_REASONS,FOX,US35137L2043,NOT_READY,D
US1:NOISIN:NOMIC,GRMN,,XNAS|XNYS,IDENTITY_INCOMPLETE,Consumer Discretionary,REVIEW_MULTIPLE_REASONS,GRMN,CH0114405324,NOT_READY,D
US1:NOISIN:XNYS,GE,US3696041033|US3696043013,XNYS,IDENTITY_AMBIGUOUS,Industrials,REVIEW_SHARE_CLASS,GE,US3696043013,NOT_READY,D
US1:US6687711084:NOMIC,GEN,US6687711084,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,GEN,US6687711084,NOT_READY,D
US1:NOISIN:XNYS,GIS,,XNYS,IDENTITY_INCOMPLETE,Consumer Staples,REVIEW_IDENTITY,GIS,US3703341046,NOT_READY,D
US1:US3802371076:NOMIC,GDDY,US3802371076,XNAS|XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_PRIMARY_MIC,GDDY,US3802371076,NOT_READY,D
US1:US42250P1030:XNYS,DOC,US42250P1030,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,DOC,US42250P1030,NOT_READY,D
US1:US44107P1049:XNYS,HST,US44107P1049,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,HST,US44107P1049,NOT_READY,D
US1:NOISIN:XNYS,HWM,US03965L1008|US4432011082,XNYS,IDENTITY_AMBIGUOUS,Industrials,REVIEW_SHARE_CLASS,HWM,US4432011082,NOT_READY,D
US1:NOISIN:XNYS,HPQ,US40434L1052|US4282361033,XNYS,IDENTITY_AMBIGUOUS,Information Technology,REVIEW_SHARE_CLASS,HPQ,US40434L1052,NOT_READY,D
US1:NOISIN:XNAS,HBAN,,XNAS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,HBAN,US4461501045,NOT_READY,D
US1:NOISIN:XNYS,IR,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,IR,US45687V1061,NOT_READY,D
US1:NOISIN:XNAS,PODD,,XNAS,IDENTITY_INCOMPLETE,Health Care,REVIEW_IDENTITY,PODD,US45784P1012,NOT_READY,D
US1:NOISIN:XNYS,IVZ,,XNYS,IDENTITY_INCOMPLETE,Financials,REVIEW_IDENTITY,IVZ,BMG491BT1088,NOT_READY,D
US1:US46187W1071:XNYS,INVH,US46187W1071,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,INVH,US46187W1071,NOT_READY,D
US1:US46284V1017:XNYS,IRM,US46284V1017,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,IRM,US46284V1017,NOT_READY,D
US1:NOISIN:XNYS,JCI,,XNYS,IDENTITY_INCOMPLETE,Industrials,REVIEW_IDENTITY,JCI,IE00BY7QL619,NOT_READY,D
US1:US49271V1008:NOMIC,KDP,US49271V1008,XNAS|XNYS,IDENTITY_AMBIGUOUS,Consumer Staples,REVIEW_PRIMARY_MIC,KDP,US49271V1008,NOT_READY,D
US1:US49446R1095:XNYS,KIM,US49446R1095,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,KIM,US49446R1095,NOT_READY,D
US1:NOISIN:NOMIC,LIN,,XNAS|XNYS,IDENTITY_INCOMPLETE,Materials,REVIEW_MULTIPLE_REASONS,LIN,IE000S9YS762,NOT_READY,D
US1:NOISIN:XNYS,LYB,,XNYS,IDENTITY_INCOMPLETE,Materials,REVIEW_IDENTITY,LYB,NL0009434992,NOT_READY,D
US1:NOISIN:NOMIC,MRSH,,,IDENTITY_INCOMPLETE,Financials,REVIEW_MULTIPLE_REASONS,MRSH,US5717481023,NOT_READY,D
US1:NOISIN:XNYS,MDT,,XNYS,IDENTITY_INCOMPLETE,Health Care,REVIEW_IDENTITY,MDT,IE00BTN1Y115,NOT_READY,D
US1:US59522J1034:XNYS,MAA,US59522J1034,XNYS,GICS_REAL_ESTATE_REIT_POLICY,Real Estate,REVIEW_REIT,MAA,US59522J1034,NOT_READY,D
