WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XNYS:MMM,3M,US88579Y1010,COMMON_STOCK,United States,MMM,NYSE,XNYS,USD,MMM,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US88579Y1010:XNYS
WS:XNYS:AOS,A. O. Smith,US8318652091,COMMON_STOCK,United States,AOS,NYSE,XNYS,USD,AOS,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US8318652091:XNYS
WS:XNYS:ABT,Abbott Laboratories,US0028241000,COMMON_STOCK,United States,ABT,NYSE,XNYS,USD,ABT,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US0028241000:XNYS
WS:XNYS:ABBV,AbbVie,US00287Y1091,COMMON_STOCK,United States,ABBV,NYSE,XNYS,USD,ABBV,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US00287Y1091:XNYS
WS:XNAS:ADBE,Adobe,US00724F1012,COMMON_STOCK,United States,ADBE,NASDAQ,XNAS,USD,ADBE,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US00724F1012:XNAS
WS:XNYS:AES,AES Corporation,US00130H1059,COMMON_STOCK,United States,AES,NYSE,XNYS,USD,AES,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US00130H1059:XNYS
WS:XNYS:AFL,Aflac,US0010551028,COMMON_STOCK,United States,AFL,NYSE,XNYS,USD,AFL,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US0010551028:XNYS
WS:XNYS:A,Agilent Technologies,US00846U1016,COMMON_STOCK,United States,A,NYSE,XNYS,USD,A,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US00846U1016:XNYS
WS:XNYS:APD,Air Products & Chemicals,US0091581068,COMMON_STOCK,United States,APD,NYSE,XNYS,USD,APD,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US0091581068:XNYS
WS:XNAS:ABNB,Airbnb,US0090661010,COMMON_STOCK,United States,ABNB,NASDAQ,XNAS,USD,ABNB,,US_SP500,US_SP500,TRUE,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,US1_SP500_COMMON_EVIDENCE_GATE,2026-09-03,2026-09-05T15:29:43Z,,US-1 S&P500 Common class A; IVV+Wikipedia; cand=US1:US0090661010:XNAS
