WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,Exchange,Instrument,Sector,Admission_Status,Admission_Reason,Evidence_Rank,Evidence_Source,Provenance,Wikipedia_Used_For_Admit
US2:US48020Q1076:XNYS,US48020Q1076,XNYS,JLL,JLL,JONES LANG LASALLE,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US0357108390:XNYS,US0357108390,XNYS,NLY,NLY,ANNALY CAPITAL MANAGEMENT REIT,NYSE,COMMON_STOCK,Financials,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US92936U1097:XNYS,US92936U1097,XNYS,WPC,WPC,W. P. CAREY REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US6819361006:XNYS,US6819361006,XNYS,OHI,OHI,OMEGA HEALTHCARE INVESTORS REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US8666741041:XNYS,US8666741041,XNYS,SUI,SUI,SUN COMMUNITIES REIT INC,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US5128161099:XNAS,US5128161099,XNAS,LAMR,LAMR,LAMAR ADVERTISING COMPANY  CLAS,NASDAQ,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US29472R1086:XNYS,US29472R1086,XNYS,ELS,ELS,EQUITY LIFESTYLE PROPERTIES REIT I,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US36467J1088:XNAS,US36467J1088,XNAS,GLPI,GLPI,GAMING AND LEISURE PROPERTIES REIT,NASDAQ,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US3981823038:XNYS,US3981823038,XNYS,AHR,AHR,AMERICAN HEALTHCARE REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US2772761019:XNYS,US2772761019,XNYS,EGP,EGP,EASTGROUP PROPERTIES REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US02665T3068:XNYS,US02665T3068,XNYS,AMH,AMH,AMERICAN HOMES  RENT REIT CLASS A,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US14174T1079:XNYS,US14174T1079,XNYS,CTRE,CTRE,CARETRUST REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US2296631094:XNYS,US2296631094,XNYS,CUBE,CUBE,CUBESMART REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US11120U1051:XNYS,US11120U1051,XNYS,BRX,BRX,BRIXMOR PROPERTY GROUP REIT INC,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US0084921008:XNYS,US0084921008,XNYS,ADC,ADC,AGREE REALTY REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US6374171063:XNYS,US6374171063,XNYS,NNN,NNN,NNN REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US76169C1009:XNYS,US76169C1009,XNYS,REXR,REXR,REXFORD INDUSTRIAL REALTY REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US32054K1034:XNYS,US32054K1034,XNYS,FR,FR,FIRST INDUSTRIAL REALTY TRUST,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US85254J1025:XNYS,US85254J1025,XNYS,STAG,STAG,STAG INDUSTRIAL REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US42226K1051:XNYS,US42226K1051,XNYS,HR,HR,HEALTHCARE REALTY TRUST INC CLASS,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
US2:US9290421091:XNYS,US9290421091,XNYS,VNO,VNO,VORNADO REALTY TRUST REIT,NYSE,COMMON_STOCK,Real Estate,REVIEW,REVIEW_REIT,4,iShares_IJH_SP400,"IJH_Sep 03, 2026",NO
