ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
US90138F1021,XNYS,TWLO,WS:XNYS:TWLO,NEW
US4523271090,XNAS,ILMN,WS:XNAS:ILMN,NEW
GB00BDSFG982,XNYS,FTI,WS:XNYS:FTI,NEW
US74624M1027,XNYS,P,WS:XNYS:P,NEW
US6792951054,XNAS,OKTA,WS:XNAS:OKTA,NEW
US01741R1023,XNYS,ATI,WS:XNYS:ATI,NEW
IE00BDVJJQ56,XNYS,NVT,WS:XNYS:NVT,NEW
US1442851036,XNYS,CRS,WS:XNYS:CRS,NEW
US9120081099,XNYS,USFD,WS:XNYS:USFD,NEW
US88033G4073,XNYS,THC,WS:XNYS:THC,NEW
US1921085049,XNYS,CDE,WS:XNYS:CDE,NEW
US9837931008,XNYS,XPO,WS:XNYS:XPO,NEW
US7802871084,XNAS,RGLD,WS:XNAS:RGLD,NEW
US2315611010,XNYS,CW,WS:XNYS:CW,NEW
US91307C1027,XNAS,UTHR,WS:XNAS:UTHR,NEW
US77543R1023,XNAS,ROKU,WS:XNAS:ROKU,NEW
US9807451037,XNAS,WWD,WS:XNAS:WWD,NEW
US7595091023,XNYS,RS,WS:XNYS:RS,NEW
US29362U1043,XNAS,ENTG,WS:XNAS:ENTG,NEW
US87162W1009,XNYS,SNX,WS:XNYS:SNX,NEW
US71424F1057,XNYS,PR,WS:XNYS:PR,NEW
US45073V1089,XNYS,ITT,WS:XNYS:ITT,NEW
US69047Q1022,XNYS,OVV,WS:XNYS:OVV,NEW
US67059N1081,XNAS,NTNX,WS:XNAS:NTNX,NEW
US27579R1041,XNAS,EWBC,WS:XNAS:EWBC,NEW
US40171V1008,XNYS,GWRE,WS:XNYS:GWRE,NEW
US55405Y1001,XNAS,MTSI,WS:XNAS:MTSI,NEW
US55306N1046,XNAS,MKSI,WS:XNAS:MKSI,NEW
US7593516047,XNYS,RGA,WS:XNYS:RGA,NEW
US95082P1057,XNYS,WCC,WS:XNYS:WCC,NEW
US89400J1079,XNYS,TRU,WS:XNYS:TRU,NEW
US4039491000,XNYS,DINO,WS:XNYS:DINO,NEW
US1220171060,XNYS,BURL,WS:XNYS:BURL,NEW
US88023U1016,XNYS,SGI,WS:XNYS:SGI,NEW
US8887871080,XNYS,TOST,WS:XNYS:TOST,NEW
US64125C1099,XNAS,NBIX,WS:XNAS:NBIX,NEW
US1844961078,XNYS,CLH,WS:XNYS:CLH,NEW
US71377A1034,XNYS,PFGC,WS:XNYS:PFGC,NEW
US5184151042,XNAS,LSCC,WS:XNAS:LSCC,NEW
US2681501092,XNYS,DT,WS:XNYS:DT,NEW
IE00B4Q5ZN47,XNAS,JAZZ,WS:XNAS:JAZZ,NEW
BMG762791017,XNAS,ROIV,WS:XNAS:ROIV,NEW
CA74935Q1072,XNYS,RBA,WS:XNYS:RBA,NEW
US75524B1044,XNYS,RBC,WS:XNYS:RBC,NEW
US00187Y1001,XNYS,APG,WS:XNYS:APG,NEW
US72348N1090,XNYS,PNFP,WS:XNYS:PNFP,NEW
US03852U1060,XNYS,ARMK,WS:XNYS:ARMK,NEW
US5339001068,XNAS,LECO,WS:XNAS:LECO,NEW
US30161Q1040,XNAS,EXEL,WS:XNAS:EXEL,NEW
US05605H1005,XNYS,BWXT,WS:XNYS:BWXT,NEW
BMG7496G1033,XNYS,RNR,WS:XNYS:RNR,NEW
US29452E1010,XNYS,EQH,WS:XNYS:EQH,NEW
US5763231090,XNYS,MTZ,WS:XNYS:MTZ,NEW
US4227041062,XNYS,HL,WS:XNYS:HL,NEW
US91529Y1064,XNYS,UNM,WS:XNYS:UNM,NEW
KYG3323L1005,XNYS,FN,WS:XNYS:FN,NEW
US8592411016,XNAS,STRL,WS:XNAS:STRL,NEW
