WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,Identity_Audit_Status,Identity_Audit_Issues,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Audit_UTC,Duplicate_ISIN_Group,Duplicate_Name_Group
WS:XASX:360,Life360,,UNVERIFIED_EQUITY_SECURITY,Australia,360,Australian Securities Exchange,XASX,AUD,360.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,360,2026-08-23T21:48:43.932298+00:00,,NAME:788316fe08a4
WS:XASX:4DX,4DMedical,,UNVERIFIED_EQUITY_SECURITY,Australia,4DX,Australian Securities Exchange,XASX,AUD,4DX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,4DX,2026-08-23T21:48:43.933999+00:00,,
WS:XASX:A2M,a2 Milk Company,,UNVERIFIED_EQUITY_SECURITY,Australia,A2M,Australian Securities Exchange,XASX,AUD,A2M.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,A2M,2026-08-23T21:48:43.935667+00:00,,NAME:8305fb1607a0
WS:XASX:AAI,Alcoa,,UNVERIFIED_EQUITY_SECURITY,Australia,AAI,Australian Securities Exchange,XASX,AUD,AAI.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AAI,2026-08-23T21:48:43.937256+00:00,,NAME:a4f51af9d392
WS:XASX:AFI,Australian Foundation Investment Company,,UNVERIFIED_EQUITY_SECURITY,Australia,AFI,Australian Securities Exchange,XASX,AUD,AFI.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AFI,2026-08-23T21:48:43.938897+00:00,,
WS:XASX:AGL,AGL Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,AGL,Australian Securities Exchange,XASX,AUD,AGL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AGL,2026-08-23T21:48:43.940537+00:00,,
WS:XASX:AIA,Auckland International Airport Limited,,UNVERIFIED_EQUITY_SECURITY,Australia,AIA,Australian Securities Exchange,XASX,AUD,AIA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AIA,2026-08-23T21:48:43.942108+00:00,,NAME:0ed3abbd8c5c
WS:XASX:ALD,Ampol,,UNVERIFIED_EQUITY_SECURITY,Australia,ALD,Australian Securities Exchange,XASX,AUD,ALD.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALD,2026-08-23T21:48:43.943736+00:00,,
WS:XASX:ALK,Alkane Resources,,UNVERIFIED_EQUITY_SECURITY,Australia,ALK,Australian Securities Exchange,XASX,AUD,ALK.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALK,2026-08-23T21:48:43.945356+00:00,,
WS:XASX:ALL,Aristocrat Leisure,,UNVERIFIED_EQUITY_SECURITY,Australia,ALL,Australian Securities Exchange,XASX,AUD,ALL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALL,2026-08-23T21:48:43.946940+00:00,,
WS:XASX:ALQ,ALS,,UNVERIFIED_EQUITY_SECURITY,Australia,ALQ,Australian Securities Exchange,XASX,AUD,ALQ.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALQ,2026-08-23T21:48:43.948582+00:00,,
