WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,Identity_Audit_Status,Identity_Audit_Issues,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Audit_UTC,Duplicate_ISIN_Group,Duplicate_Name_Group,Remediation_Method,Remediation_UTC,Source_Primary_Ticker,Primary_Ticker_Resolved_Candidate,Canonical_WS_ID_Candidate,Provider_Listing_Type,Final_Remediation_UTC,Final_Resolved_Ticker_Candidate,Evidence_Freeze_Status,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Note,Evidence_Frozen_UTC
WS:XASX:360,Life360,,UNVERIFIED_EQUITY_SECURITY,Australia,360,Australian Securities Exchange,XASX,AUD,360.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,360,2026-08-23T21:48:43.932298+00:00,,NAME:788316fe08a4,CARRY_FORWARD,2026-08-23T22:04:36.060869+00:00,360,360,,PRIMARY,2026-08-23T22:24:59.635687+00:00,360,,,,,
WS:XASX:4DX,4DMedical,,UNVERIFIED_EQUITY_SECURITY,Australia,4DX,Australian Securities Exchange,XASX,AUD,4DX.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,4DX,2026-08-23T21:48:43.933999+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.062286+00:00,4DX,4DX,,PRIMARY,2026-08-23T22:24:59.636425+00:00,4DX,,,,,
WS:XASX:A2M,a2 Milk Company,,UNVERIFIED_EQUITY_SECURITY,Australia,A2M,Australian Securities Exchange,XASX,AUD,A2M.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,A2M,2026-08-23T21:48:43.935667+00:00,,NAME:8305fb1607a0,CARRY_FORWARD,2026-08-23T22:04:36.063499+00:00,A2M,A2M,,PRIMARY,2026-08-23T22:24:59.637063+00:00,A2M,,,,,
WS:XASX:AAI,Alcoa,,UNVERIFIED_EQUITY_SECURITY,Australia,AAI,Australian Securities Exchange,XASX,AUD,AAI.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AAI,2026-08-23T21:48:43.937256+00:00,,NAME:a4f51af9d392,CARRY_FORWARD,2026-08-23T22:04:36.064613+00:00,AAI,AAI,,PRIMARY,2026-08-23T22:24:59.637646+00:00,AAI,,,,,
WS:XASX:AFI,Australian Foundation Investment Company,,UNVERIFIED_EQUITY_SECURITY,Australia,AFI,Australian Securities Exchange,XASX,AUD,AFI.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AFI,2026-08-23T21:48:43.938897+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.065763+00:00,AFI,AFI,,PRIMARY,2026-08-23T22:24:59.638248+00:00,AFI,,,,,
WS:XASX:AGL,AGL Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,AGL,Australian Securities Exchange,XASX,AUD,AGL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AGL,2026-08-23T21:48:43.940537+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.066862+00:00,AGL,AGL,,PRIMARY,2026-08-23T22:24:59.638837+00:00,AGL,,,,,
WS:XASX:AIA,Auckland International Airport Limited,,UNVERIFIED_EQUITY_SECURITY,Australia,AIA,Australian Securities Exchange,XASX,AUD,AIA.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,REVIEW_REQUIRED,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.93,AIA,2026-08-23T21:48:43.942108+00:00,,NAME:0ed3abbd8c5c,CARRY_FORWARD,2026-08-23T22:04:36.067937+00:00,AIA,AIA,,PRIMARY,2026-08-23T22:24:59.639409+00:00,AIA,,,,,
WS:XASX:ALD,Ampol,,UNVERIFIED_EQUITY_SECURITY,Australia,ALD,Australian Securities Exchange,XASX,AUD,ALD.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALD,2026-08-23T21:48:43.943736+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.069019+00:00,ALD,ALD,,PRIMARY,2026-08-23T22:24:59.639983+00:00,ALD,,,,,
WS:XASX:ALK,Alkane Resources,,UNVERIFIED_EQUITY_SECURITY,Australia,ALK,Australian Securities Exchange,XASX,AUD,ALK.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALK,2026-08-23T21:48:43.945356+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.070115+00:00,ALK,ALK,,PRIMARY,2026-08-23T22:24:59.640532+00:00,ALK,,,,,
WS:XASX:ALL,Aristocrat Leisure,,UNVERIFIED_EQUITY_SECURITY,Australia,ALL,Australian Securities Exchange,XASX,AUD,ALL.AX,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,ALL,2026-08-23T21:48:43.946940+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.071189+00:00,ALL,ALL,,PRIMARY,2026-08-23T22:24:59.641118+00:00,ALL,,,,,
