WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,G3_Segment
WS:XLON:LGEN.L,LEGAL & GENERAL GRP,,UNKNOWN,GB,LGEN.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XWAR:INGP.WA,ING BANK SLASKI BSK,,UNKNOWN,PL,INGP.WA,Warsaw SE,XWAR,PLN,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:INF.L,INFORMA,,UNKNOWN,GB,INF.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:NWG.L,NATWEST GROUP,,UNKNOWN,GB,NWG.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSWX:VZN.S,VZ HOLDING 'N',,UNKNOWN,CH,VZN.S,Six Swiss Exchange,XSWX,CHF,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XCSE:ISS.CO,ISS AS,,UNKNOWN,DK,ISS.CO,NASDAQ Copenhagen,XCSE,DKK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XETR:MRCG.DE,MERCK,,UNKNOWN,DE,MRCG.DE,XETRA,XETR,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XAMS:HEIN.AS,HEINEKEN,,UNKNOWN,NL,HEIN.AS,Euronext Amsterdam,XAMS,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:WISEA.L,WISE GROUP A,,UNKNOWN,GB,WISEa.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:HLN.L,HALEON,,UNKNOWN,GB,HLN.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSWX:GF.S,GEORG FISCHER,,UNKNOWN,CH,GF.S,Six Swiss Exchange,XSWX,CHF,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XMIL:TRN.MI,TERNA,,UNKNOWN,IT,TRN.MI,Borsa Italiana,XMIL,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XAMS:WLSNC.AS,WOLTERS KLUWER,,UNKNOWN,NL,WLSNc.AS,Euronext Amsterdam,XAMS,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSTO:SAVE.ST,NORDNET,,UNKNOWN,SE,SAVE.ST,NASDAQ Stockholm,XSTO,SEK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
