WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,COMMON_STOCK,India,RELIANCE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,COMMON_STOCK,India,INFY,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,COMMON_STOCK,India,LT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,COMMON_STOCK,India,JSWSTEEL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,COMMON_STOCK,India,ASIANPAINT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,COMMON_STOCK,India,MAXHEALTH,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,COMMON_STOCK,India,HINDUNILVR,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,COMMON_STOCK,India,HINDALCO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,COMMON_STOCK,India,HDFCBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,COMMON_STOCK,India,SUNPHARMA,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
