WS_ID,Primary_MIC,Primary_Ticker,Source_Superset_Member,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_State,Scalable_Tradeability_Status,MedianTurnover20_EUR,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Source_AsOf,Price_AsOf,Provider,Eligibility_State_Materialized_v0_34,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:BVMF:ABEV3,BVMF,ABEV3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,70038765.22,749,749,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ALOS3,BVMF,ALOS3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,17272777.44,749,747,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ANIM3,BVMF,ANIM3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,3489531.26,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ASAI3,BVMF,ASAI3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,13314639.32,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:AUAU3,BVMF,AUAU3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,1981790.93,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:AURE3,BVMF,AURE3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,6469151.82,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:AXIA3,BVMF,AXIA3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,101441139.31,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:AZZA3,BVMF,AZZA3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,6187572.27,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:B3SA3,BVMF,B3SA3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,82864092.66,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:BBAS3,BVMF,BBAS3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,81718010.43,749,747,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
