Segment_ID,WS_ID_Candidate,ISIN,Primary_MIC,Primary_Ticker,Security_Name_Official,B3_Type_Official,Instrument_Type_v0_31,Instrument_Gate_v0_31,Instrument_Gate_Reason_v0_31,Identity_Gate_v0_31,Identity_Method_v0_31,Source_Membership_Gate_v0_31,Source_ID,Source_AsOf_Official_Display,Source_AsOf_Official,Source_AsOf_Semantics,Source_Endpoint,Primary_MIC_Evidence_URL,Official_Source_Provides_ISIN,Strict_Ordinary_Identity_Candidate_v0_31,Canonical_Master_Import_v0_31,Needs_Liquidity_Gate
BR_IBRX100,WS:BVMF:ALOS3,,BVMF,ALOS3,ALLOS,ON ED NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:ABEV3,,BVMF,ABEV3,AMBEV S/A,ON,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:ANIM3,,BVMF,ANIM3,ANIMA,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:ASAI3,,BVMF,ASAI3,ASSAI,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:AURE3,,BVMF,AURE3,AUREN,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:AXIA3,,BVMF,AXIA3,AXIA ENERGIA,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:AZZA3,,BVMF,AZZA3,AZZAS 2154,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:B3SA3,,BVMF,B3SA3,B3,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:BBSE3,,BVMF,BBSE3,BBSEGURIDADE,ON NM,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
BR_IBRX100,WS:BVMF:BBDC3,,BVMF,BBDC3,BRADESCO,ON N1,ORDINARY_SHARE,PASS,B3_TYPE_ON_OFFICIAL_ORDINARY_SHARE,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,True,False,True
