WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Primary_Universe_Index,Index_Tags,Universe_Status
SMOKE:US:AAPL,Apple Inc.,,United States,AAPL,SMOKE_TEST_REFERENCE,XNAS,USD,AAPL,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:US:MSFT,Microsoft Corp.,,United States,MSFT,SMOKE_TEST_REFERENCE,XNAS,USD,MSFT,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:US:JPM,JPMorgan Chase & Co.,,United States,JPM,SMOKE_TEST_REFERENCE,XNYS,USD,JPM,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:US:BRKB,Berkshire Hathaway Class B,,United States,BRK.B,SMOKE_TEST_REFERENCE,XNYS,USD,BRK-B,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CA:SHOP,Shopify Inc.,,Canada,SHOP,SMOKE_TEST_REFERENCE,XTSE,CAD,SHOP.TO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CA:RY,Royal Bank of Canada,,Canada,RY,SMOKE_TEST_REFERENCE,XTSE,CAD,RY.TO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:CA:ENB,Enbridge Inc.,,Canada,ENB,SMOKE_TEST_REFERENCE,XTSE,CAD,ENB.TO,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:DE:SAP,SAP SE,,Germany,SAP,SMOKE_TEST_REFERENCE,XETR,EUR,SAP.DE,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:DE:SIE,Siemens AG,,Germany,SIE,SMOKE_TEST_REFERENCE,XETR,EUR,SIE.DE,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
SMOKE:DE:ALV,Allianz SE,,Germany,ALV,SMOKE_TEST_REFERENCE,XETR,EUR,ALV.DE,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE_TEST_ONLY
