WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XASX:360,Life360,,UNVERIFIED_EQUITY_SECURITY,Australia,360,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:4DX,4DMedical,,UNVERIFIED_EQUITY_SECURITY,Australia,4DX,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:A2M,a2 Milk Company,,UNVERIFIED_EQUITY_SECURITY,Australia,A2M,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:AAI,Alcoa,,UNVERIFIED_EQUITY_SECURITY,Australia,AAI,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:AFI,Australian Foundation Investment Company,,UNVERIFIED_EQUITY_SECURITY,Australia,AFI,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:AGL,AGL Energy,,UNVERIFIED_EQUITY_SECURITY,Australia,AGL,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:AIA,Auckland International Airport Limited,,UNVERIFIED_EQUITY_SECURITY,Australia,AIA,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:ALD,Ampol,,UNVERIFIED_EQUITY_SECURITY,Australia,ALD,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:ALK,Alkane Resources,,UNVERIFIED_EQUITY_SECURITY,Australia,ALK,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:ALL,Aristocrat Leisure,,UNVERIFIED_EQUITY_SECURITY,Australia,ALL,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
WS:XASX:ALQ,ALS,,UNVERIFIED_EQUITY_SECURITY,Australia,ALQ,Australian Securities Exchange,XASX,AUD,,,AU_ASX200,AU_ASX200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,AU_ASX200_WIKI,2026-08-23,2026-08-23T21:30:40.508472+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/ASX_200; identity/provider mapping pending
