WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:VALE3,VALE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,VALE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ITUB4,ITUB4,,UNVERIFIED_EQUITY_SECURITY,Brazil,ITUB4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:PETR4,PETR4,,UNVERIFIED_EQUITY_SECURITY,Brazil,PETR4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:PETR3,PETR3,,UNVERIFIED_EQUITY_SECURITY,Brazil,PETR3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:AXIA3,AXIA3,,UNVERIFIED_EQUITY_SECURITY,Brazil,AXIA3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BBDC4,BBDC4,,UNVERIFIED_EQUITY_SECURITY,Brazil,BBDC4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:SBSP3,SBSP3,,UNVERIFIED_EQUITY_SECURITY,Brazil,SBSP3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:B3SA3,B3SA3,,UNVERIFIED_EQUITY_SECURITY,Brazil,B3SA3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ITSA4,ITSA4,,UNVERIFIED_EQUITY_SECURITY,Brazil,ITSA4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:WEGE3,WEGE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,WEGE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:EMBJ3,EMBJ3,,UNVERIFIED_EQUITY_SECURITY,Brazil,EMBJ3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ABEV3,ABEV3,,UNVERIFIED_EQUITY_SECURITY,Brazil,ABEV3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BPAC11,BPAC11,,UNVERIFIED_EQUITY_SECURITY,Brazil,BPAC11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BBAS3,BBAS3,,UNVERIFIED_EQUITY_SECURITY,Brazil,BBAS3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ENEV3,ENEV3,,UNVERIFIED_EQUITY_SECURITY,Brazil,ENEV3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:PRIO3,PRIO3,,UNVERIFIED_EQUITY_SECURITY,Brazil,PRIO3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:EQTL3,EQTL3,,UNVERIFIED_EQUITY_SECURITY,Brazil,EQTL3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CPLE3,CPLE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CPLE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:VBBR3,VBBR3,,UNVERIFIED_EQUITY_SECURITY,Brazil,VBBR3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:RDOR3,RDOR3,,UNVERIFIED_EQUITY_SECURITY,Brazil,RDOR3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
