WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XKRX:090430,Amorepacific,,UNVERIFIED_EQUITY_SECURITY,South Korea,090430,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:002790,Amorepacific Holdings,,UNVERIFIED_EQUITY_SECURITY,South Korea,002790,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:278470,APR,,UNVERIFIED_EQUITY_SECURITY,South Korea,278470,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:002030,Asia Holdings,,UNVERIFIED_EQUITY_SECURITY,South Korea,002030,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:282330,BGF Retail,,UNVERIFIED_EQUITY_SECURITY,South Korea,282330,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:138930,BNK Financial,,UNVERIFIED_EQUITY_SECURITY,South Korea,138930,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:068270,Celltrion,,UNVERIFIED_EQUITY_SECURITY,South Korea,068270,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:030000,Cheil Worldwide,,UNVERIFIED_EQUITY_SECURITY,South Korea,030000,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:185750,Chong Kun Dang,,UNVERIFIED_EQUITY_SECURITY,South Korea,185750,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:001040,CJ,,UNVERIFIED_EQUITY_SECURITY,South Korea,001040,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:097950,CJ CheilJedang,,UNVERIFIED_EQUITY_SECURITY,South Korea,097950,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
