WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XMEX:AC,Arca Continental,,UNVERIFIED_EQUITY_SECURITY,Mexico,AC,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:ALFAA,ALFA,,UNVERIFIED_EQUITY_SECURITY,Mexico,ALFA A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:ALSEA,Alsea,,UNVERIFIED_EQUITY_SECURITY,Mexico,ALSEA,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:AMXB,América Móvil,,UNVERIFIED_EQUITY_SECURITY,Mexico,AMXB,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:ASURB,Grupo Aeroportuario del Sureste,,UNVERIFIED_EQUITY_SECURITY,Mexico,ASUR B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:BBAJIOO,Banco del Bajío,,UNVERIFIED_EQUITY_SECURITY,Mexico,BBAJIO O,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:BIMBOA,Grupo Bimbo,,UNVERIFIED_EQUITY_SECURITY,Mexico,BIMBO A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:BOLSAA,Bolsa Mexicana de Valores,,UNVERIFIED_EQUITY_SECURITY,Mexico,BOLSA A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:CEMEXCPO,Cemex,,UNVERIFIED_EQUITY_SECURITY,Mexico,CEMEX CPO,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:CUERVO,Becle,,UNVERIFIED_EQUITY_SECURITY,Mexico,CUERVO,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:ELEKTRA,Grupo Elektra,,UNVERIFIED_EQUITY_SECURITY,Mexico,ELEKTRA,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
