WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XNZE:AIA,Auckland International Airport Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,AIA,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:AIR,Air New Zealand Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,AIR,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:ANZ,ANZ Group Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,ANZ,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:ARG,Argosy Property Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,ARG,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:ARV,Arvida Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,ARV,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:ATM,The a2 Milk Company Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,ATM,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:CEN,Contact Energy Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,CEN,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:CHI,Channel Infrastructure NZ Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,CHI,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:CNU,Chorus Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,CNU,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:EBO,EBOS Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,EBO,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:FBU,Fletcher Building Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,FBU,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:FPH,Fisher & Paykel Healthcare Corporation Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,FPH,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:FRW,Freightways Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,FRW,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:FSF,Fonterra Shareholders' Fund,,UNVERIFIED_EQUITY_SECURITY,New Zealand,FSF,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:GMT,Goodman Property Trust,,UNVERIFIED_EQUITY_SECURITY,New Zealand,GMT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:GNE,Genesis Energy Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,GNE,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:GTK,Gentrack Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,GTK,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:HGH,Heartland Group Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,HGH,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:HLG,Hallenstein Glasson Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,HLG,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:IFT,Infratil Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,IFT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:IPL,Investore Property Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,IPL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:KMD,KMD Brands Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,KMD,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:KPG,Kiwi Property Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,KPG,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:MCY,Mercury NZ Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,MCY,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
