WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:SRC:ZA_TOP40:3372028E3DD353C9,Absa Group,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:1A460F7B08BC8A81,Anglogold Ashanti,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:EEEF37437472AD5D,Aspen Pharmacare,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:C4F89DB729DA585F,BHP,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:A5EBFF44983C436F,Bidcorp,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:1A236465C92C27FB,Bidvest Group,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:CA5BCEC12F716F44,BAT,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:C3D446CB310D4D8C,Capitec,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,Clicks,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:FA44132B238E6795,Discovery,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,Exxaro,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:B9672938BA6AA893,FirstRand,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,Glencore,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:A707BAE04D25DE84,Gold Fields,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
